subject,date,probe,neuron_id,region,allen_acronym,x,y,z,p_object,p_goal,p_interaction,eta2_object,eta2_goal,eta2_interaction,n_encounters,t_win_start_s,t_win_end_s
466395,20241114,probe00,35,PERI,PERI2/3,-4696.192257117873,-3124.838846940437,-4156.100201999918,0.28160238267336885,0.123043584623406,0.12938062602318728,0.010162326286496378,0.02073447641278107,0.02005934850416724,118,0.5,1.0
466395,20241114,probe00,38,PERI,PERI2/3,-4691.85644919388,-3124.455325444203,-4139.17984378854,0.28180281157008114,0.599332195407493,0.7962594397479462,0.010153907092009893,0.002428775722110375,0.0005871577222474415,118,0.5,1.0
466395,20241114,probe00,42,PERI,PERI2/3,-4691.85644919388,-3124.455325444203,-4139.17984378854,0.06613168279936482,0.06613168279936564,0.025235900278557953,0.029310303234989087,0.029310303234988958,0.04315982212921789,118,0.5,1.0
466395,20241114,probe00,45,PERI,PERI2/3,-4687.52063811517,-3124.071803668921,-4122.259473265976,0.1973438211356494,0.9825035948076469,0.2128531757925369,0.01453559990145349,4.237270181057513e-06,0.01357999406476096,118,0.5,1.0
466395,20241114,probe00,48,PERI,PERI2/3,-4687.52063811517,-3124.071803668921,-4122.259473265976,0.15474436581810871,0.002020169949993911,0.9576116799475201,0.01768159716012885,0.08054227033840985,2.4889472289553124e-05,118,0.5,1.0
466395,20241114,probe00,50,PERI,PERI2/3,-4687.52063811517,-3124.071803668921,-4122.259473265976,0.002514371140259254,0.07294116469523662,0.014735660382359015,0.07728817558737838,0.027932826288561446,0.051052699026543316,118,0.5,1.0
466395,20241114,probe00,52,PERI,PERI2/3,-4687.52063811517,-3124.071803668921,-4122.259473265976,0.5914610592700782,0.5914610592700782,0.6417662738176632,0.0025348018911498954,0.0025348018911499747,0.0019051197745420252,118,0.5,1.0
466395,20241114,probe00,56,PERI,PERI2/3,-4687.52063811517,-3124.071803668921,-4122.259473265976,0.9903335224467905,0.47522184175994897,0.16532701881139428,1.2932344440082715e-06,0.0044815799468287025,0.016815452160833227,118,0.5,1.0
466395,20241114,probe00,59,PERI,PERI2/3,-4685.352732575815,-3123.88004278128,-4113.799288004694,0.5785139585191463,0.5001578909152136,0.45209093025730096,0.002715600449946281,0.003997243463741961,0.004969091167543631,118,0.5,1.0
466395,20241114,probe00,60,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.16028684410558128,0.07231659287207858,0.2540983944835641,0.017219934511080538,0.028053388970601372,0.011393719653709979,118,0.5,1.0
466395,20241114,probe00,61,PERI,PERI2/3,-4685.352732575815,-3123.88004278128,-4113.799288004694,0.37101579135977447,0.013808330672944086,0.40571178439553324,0.007025860354431883,0.05201101202719527,0.006072443335502773,118,0.5,1.0
466395,20241114,probe00,65,PERI,PERI2/3,-4687.52063811517,-3124.071803668921,-4122.259473265976,0.9722042153119992,0.04164517847794486,0.5774433553729097,1.0696731613653409e-05,0.03589899604502583,0.0027309142695604426,118,0.5,1.0
466395,20241114,probe00,68,PERI,PERI2/3,-4681.016924651822,-3123.4965212850457,-4096.878929793316,0.2876532249916895,0.570747272103033,0.381389251406584,0.009911414370519544,0.002827978899659114,0.006728011740177869,118,0.5,1.0
466395,20241114,probe00,69,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.3512832997323293,0.9873711270274456,0.5961598597690243,0.007625448318200975,2.2074190249720883e-06,0.002471159711013594,118,0.5,1.0
466395,20241114,probe00,70,PERI,PERI2/3,-4681.016924651822,-3123.4965212850457,-4096.878929793316,0.33312812019789817,0.6876972128531516,0.9283784524411304,0.008218792569898655,0.0014226693550030607,7.118044686926786e-05,118,0.5,1.0
466395,20241114,probe00,71,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.0669386952418105,0.6658896707912154,0.18097547489447408,0.029139420187537103,0.0016413465227056413,0.01564346530495421,118,0.5,1.0
466395,20241114,probe00,73,PERI,PERI2/3,-4681.016924651822,-3123.4965212850457,-4096.878929793316,0.7874629651527121,0.21390767704558733,0.7276865607062304,0.0006402087791963033,0.013517998489222922,0.0010676692314059105,118,0.5,1.0
466395,20241114,probe00,74,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.9167312048698848,0.41405102389264004,0.48752937628272053,9.630408899164935e-05,0.0058605624138798156,0.004237418907801887,118,0.5,1.0
466395,20241114,probe00,75,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.30628022233968055,0.30628022233968866,0.3256491254141972,0.009179065164925514,0.009179065164925369,0.008475858903753223,118,0.5,1.0
466395,20241114,probe00,76,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.6166104265273724,0.6841089824784433,0.6703802984480702,0.0022060019798869554,0.0014573986004144056,0.0015948127198731046,118,0.5,1.0
466395,20241114,probe00,77,PERI,PERI2/3,-4678.8490191124665,-3123.3047603974046,-4088.418744532035,0.17556453509841274,0.8891209798282028,0.6137031020452753,0.016035214371983398,0.00017123458858223707,0.0022425470623722034,118,0.5,1.0
466395,20241114,probe00,79,PERI,PERI2/3,-4683.184830191177,-3123.688282172687,-4105.339115054599,0.8603931007839098,0.5892839122450428,0.1777681234317982,0.000272485204505162,0.0025646427640573888,0.01587403401958984,118,0.5,1.0
466395,20241114,probe00,81,PERI,PERI2/3,-4678.8490191124665,-3123.3047603974046,-4088.418744532035,0.8133365350349105,0.09749869620645567,0.5996823294390705,0.0004911035213183908,0.02390297994236893,0.002424126352003746,118,0.5,1.0
466395,20241114,probe00,83,PERI,PERI2/3,-4678.8490191124665,-3123.3047603974046,-4088.418744532035,0.35226858201482425,0.03634894156375408,0.19993537196272645,0.007594429446078299,0.037859888761655365,0.014369952972967307,118,0.5,1.0
466395,20241114,probe00,85,PERI,PERI2/3,-4676.681113573112,-3123.1129995097635,-4079.9585592707526,0.7652863659919658,0.16903801934320373,0.5569138813779861,0.0007849684671114409,0.016526443894669566,0.003035666209799801,118,0.5,1.0
466395,20241114,probe00,86,PERI,PERI2/3,-4674.513211188474,-3122.921238901171,-4071.4983863206567,0.09968878566322453,0.5642982148948894,0.5518192230556082,0.02359786216060021,0.0029235852098836047,0.003114648887212598,118,0.5,1.0
466395,20241114,probe00,87,PERI,PERI2/3,-4678.8490191124665,-3123.3047603974046,-4088.418744532035,0.594972461202691,0.3005101731473521,0.3668195273823388,0.00248714448052439,0.009399726332693628,0.0071496520087749454,118,0.5,1.0
466395,20241114,probe00,88,PERI,PERI2/3,-4676.681113573112,-3123.1129995097635,-4079.9585592707526,0.685631604155003,0.6155892841831885,0.43326954364750936,0.0014426022467100418,0.0022187950137036493,0.005395400773933927,118,0.5,1.0
466395,20241114,probe00,94,PERI,PERI2/3,-4674.513211188474,-3122.921238901171,-4071.4983863206567,0.3349330491720822,0.26386361417395365,0.2660485685005769,0.008157893461290564,0.010938457710606796,0.010839420326151736,118,0.5,1.0
466395,20241114,probe00,96,PERI,PERI2/3,-4674.513211188474,-3122.921238901171,-4071.4983863206567,0.4922404565307704,0.027986789758142103,0.47578064665618336,0.00414662023869652,0.04165182708824842,0.004470271772901212,118,0.5,1.0
466395,20241114,probe00,98,PERI,PERI2/3,-4674.513211188474,-3122.921238901171,-4071.4983863206567,0.42944343722686495,0.014133794379865101,0.6670357643710926,0.00548552365934317,0.051667438084080176,0.001629395010836036,118,0.5,1.0
466395,20241114,probe00,100,PERI,PERI2/3,-4672.345302494402,-3122.729477734481,-4063.0381887481885,0.7310424031962345,0.47413364083868537,0.7310424031962345,0.0010404756761432966,0.004503662910942576,0.0010404756761433287,118,0.5,1.0
466395,20241114,probe00,101,PERI,PERI2/3,-4674.513211188474,-3122.921238901171,-4071.4983863206567,0.054618453262840184,0.5378919939685733,0.9648750225173599,0.03201905265943377,0.0033376472992302946,1.7085547335508578e-05,118,0.5,1.0
466395,20241114,probe00,102,PERI,PERI2/3,-4672.345302494402,-3122.729477734481,-4063.0381887481885,0.9171557739513991,0.5144809766188946,0.6751661429667521,9.532103274780205e-05,0.00373694730589462,0.0015460857041393798,118,0.5,1.0
466395,20241114,probe00,106,PERI,PERI2/3,-4674.513211188474,-3122.921238901171,-4071.4983863206567,0.993368840146327,0.6240693847199685,0.2655355470631991,6.0856737087489e-07,0.0021139460724792806,0.010862583823365477,118,0.5,1.0
466395,20241114,probe00,108,PERI,PERI2/3,-4672.345302494402,-3122.729477734481,-4063.0381887481885,0.30224039232074124,0.14208583055312682,0.5416593472140747,0.009332992974520678,0.018809286075745155,0.0032762858749382654,118,0.5,1.0
466395,20241114,probe00,109,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.01297613252371117,0.27941343216985337,0.25524668596518096,0.052928248593864774,0.010254765905419516,0.011339084480521377,118,0.5,1.0
466395,20241114,probe00,111,PERI,PERI2/3,-4668.009497725126,-3122.3459565172957,-4046.1178428479966,0.3610903459316962,0.02899367925094929,0.9570775056654302,0.007321849767803737,0.04113755998717654,2.552133711389399e-05,118,0.5,1.0
466395,20241114,probe00,115,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.27288889498199204,0.7969817574708304,0.8552448530852962,0.010535746275191871,0.0005829101534084522,0.00029317797406502025,118,0.5,1.0
466395,20241114,probe00,116,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.37603579746356885,0.7894288410643117,0.9982951180190132,0.0068802925769265956,0.0006281397186955291,4.0226208058287255e-08,118,0.5,1.0
466395,20241114,probe00,118,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.40223368383597746,0.40223368383597746,0.0953934807521259,0.006162695152013155,0.006162695152013113,0.024203307785397338,118,0.5,1.0
466395,20241114,probe00,119,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.4288258918202402,0.3527050275176514,0.404224422401546,0.00550018301144725,0.007580726665861427,0.006110900698729103,118,0.5,1.0
466395,20241114,probe00,120,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.32773576637457136,0.3277357663745746,0.3277357663745746,0.008403361344537863,0.008403361344537777,0.00840336134453784,118,0.5,1.0
466395,20241114,probe00,123,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.23688686393743322,0.13692129843083953,0.02281603201072858,0.012250382785402563,0.019301903486303743,0.044632513569490655,118,0.5,1.0
466395,20241114,probe00,126,PERI,PERI2/3,-4670.177400109764,-3122.5377171258883,-4054.5780157980926,0.6957642489939142,0.9705620991052963,0.032992851440603745,0.0013463557681800964,1.1998528922761842e-05,0.039261681247524514,118,0.5,1.0
466395,20241114,probe00,127,PERI,PERI2/3,-4665.841589031053,-3122.1541953506057,-4037.6576452755294,0.08051590730536924,0.5403000042952915,0.5403000042952915,0.026552113676969986,0.0032983364165857162,0.003298336416585722,118,0.5,1.0
466395,20241114,probe00,133,PERI,PERI2/3,-4665.841589031053,-3122.1541953506057,-4037.6576452755294,0.5608687737106473,0.8998663736432557,0.7771172188851376,0.002975288156332002,0.00013948870849802398,0.0007057616507852092,118,0.5,1.0
466395,20241114,probe00,134,PERI,PERI2/3,-4663.673686646415,-3121.9624347420136,-4029.197472325433,0.1393536329173378,0.1918350044061482,0.5564396445687774,0.019067375138197427,0.01489624095546231,0.003042960834673859,118,0.5,1.0
466395,20241114,probe00,135,PERI,PERI2/3,-4663.673686646415,-3121.9624347420136,-4029.197472325433,0.9365813703568712,0.6178936182938057,0.7594867816239106,5.5777301772761305e-05,0.0021899913170056492,0.00082547256116206,118,0.5,1.0
466395,20241114,probe00,136,PERI,PERI2/3,-4663.673686646415,-3121.9624347420136,-4029.197472325433,0.0681459857715668,0.006385139363271557,0.9341699037647365,0.028887791924088933,0.06343201773395772,6.010947799786505e-05,118,0.5,1.0
466395,20241114,probe00,139,PERI,PERI2/3,-4665.841589031053,-3122.1541953506057,-4037.6576452755294,0.6425556128768042,0.6425556128768042,0.027979893388630373,0.0018961130209768416,0.0018961130209768256,0.041655414460475645,118,0.5,1.0
466395,20241114,probe00,143,PERI,PERI2/3,-4665.841589031053,-3122.1541953506057,-4037.6576452755294,0.12992364104770487,0.15132207899817546,0.43136486403774066,0.020003195705890865,0.01797601966840435,0.005440114509249027,118,0.5,1.0
466395,20241114,probe00,144,PERI,PERI2/3,-4663.673686646415,-3121.9624347420136,-4029.197472325433,0.5433271032044895,0.03667673234911781,0.9072749603734412,0.0032493704252866207,0.03773019551708074,0.00011952261781093243,118,0.5,1.0
466395,20241114,probe00,148,PERI,PERI2/3,-4661.505777952344,-3121.7706735753236,-4020.7372747529653,0.636773404759251,0.11190924731059804,0.7974254897398195,0.0019626933172710178,0.0220183395736828,0.0005803089426956183,118,0.5,1.0
466395,20241114,probe00,152,PERI,PERI2/3,-4661.505777952344,-3121.7706735753236,-4020.7372747529653,0.2617599085685215,0.26175990856852294,0.35896363334487036,0.0110347702545508,0.011034770254550694,0.007386726351169473,118,0.5,1.0
466395,20241114,probe00,155,PERI,PERI2/3,-4661.505777952344,-3121.7706735753236,-4020.7372747529653,0.2368571275406548,0.7442581811382022,0.9526923744128825,0.01225192718985988,0.0009371657474439052,3.1008785564168964e-05,118,0.5,1.0
466395,20241114,probe00,156,PERI,PERI2/3,-4661.505777952344,-3121.7706735753236,-4020.7372747529653,0.5163050932863467,0.5849454296388641,0.39661842865145003,0.0037046905026195437,0.002624780917850017,0.006310804292658503,118,0.5,1.0
466395,20241114,probe00,163,PERI,PERI2/3,-4655.0020644889955,-3121.1953911914484,-3995.3567312803057,0.022534996025349766,4.4334658470496175e-09,0.013260901936379238,0.04481380493058701,0.261588296015694,0.05260783961449448,118,0.5,1.0
466395,20241114,probe00,165,PERI,PERI2/3,-4655.0020644889955,-3121.1953911914484,-3995.3567312803057,0.7262098093707688,0.4948560388677642,0.08191551376444822,0.0010797603692252588,0.004096829954506983,0.026312149636862656,118,0.5,1.0
466395,20241114,probe00,167,PERI,PERI2/3,-4657.169973183067,-3121.3871523581383,-4003.816928852773,0.050776190431418136,0.0016048833234990033,0.0507761904314185,0.03305845610103711,0.08396249843995614,0.033058456101037026,118,0.5,1.0
