region_pair,region1,region2,p_value,f_stat,subject,date
iCA1 → VIS,iCA1,VIS,0.5269298863827446,12.62718510192906,462910,20240815
VIS → dCA1,VIS,dCA1,0.6326491141429416,1.5029412579670896,462910,20240815
dCA1 → VIS,dCA1,VIS,0.26505553393279274,1.835046475320356,462910,20240815
iCA1 → dCA1,iCA1,dCA1,1.0,1.836052867998365,462910,20240815
dCA1 → iCA1,dCA1,iCA1,0.054499831610070416,1.6528619183864428,462910,20240815
AUD → PERI 35,AUD,PERI 35,0.25764274770102025,1.7685842075938767,462911,20240809
PERI 35 → AUD,PERI 35,AUD,0.043220794972317934,1.8216158235104354,462911,20240809
AUD → PERI 36,AUD,PERI 36,0.3124485444968723,1.4883469165407779,462911,20240809
PERI 36 → AUD,PERI 36,AUD,0.007725546600780468,1.6350271993905536,462911,20240809
AUD → TEa,AUD,TEa,0.5286509284316863,1.6106600628679788,462911,20240809
TEa → AUD,TEa,AUD,0.12897181300306582,1.7412324982013663,462911,20240809
AUD → VIS,AUD,VIS,0.007725546600780468,1.6996154652432602,462911,20240809
VIS → AUD,VIS,AUD,0.899676592089231,1.5427480522326145,462911,20240809
AUD → dCA1,AUD,dCA1,0.12897181300306582,1.417388234178191,462911,20240809
dCA1 → AUD,dCA1,AUD,0.25764274770102025,1.3486158535914237,462911,20240809
PERI 35 → PERI 36,PERI 35,PERI 36,0.015848244066391858,1.7225294832751046,462911,20240809
PERI 36 → PERI 35,PERI 36,PERI 35,0.0765279873712071,1.735439056626725,462911,20240809
PERI 35 → TEa,PERI 35,TEa,0.0009494473996409889,2.139268293901651,462911,20240809
TEa → PERI 35,TEa,PERI 35,0.0022259880710939466,1.9100989090333957,462911,20240809
PERI 35 → VIS,PERI 35,VIS,0.000555454225709465,1.912445166932581,462911,20240809
VIS → PERI 35,VIS,PERI 35,0.12897181300306582,1.7783785739179359,462911,20240809
PERI 35 → dCA1,PERI 35,dCA1,0.37804334207341217,1.5714664559923572,462911,20240809
dCA1 → PERI 35,dCA1,PERI 35,2.1144421630016226e-05,1.6137991758095909,462911,20240809
PERI 36 → TEa,PERI 36,TEa,0.5286509284316863,1.6308624293205916,462911,20240809
TEa → PERI 36,TEa,PERI 36,0.015848244066391858,1.8237655930797407,462911,20240809
PERI 36 → VIS,PERI 36,VIS,0.0022259880710939466,1.791190141091163,462911,20240809
VIS → PERI 36,VIS,PERI 36,0.5286509284316863,1.6664735741358017,462911,20240809
PERI 36 → dCA1,PERI 36,dCA1,0.37804334207341217,1.5292468780025976,462911,20240809
dCA1 → PERI 36,dCA1,PERI 36,0.043220794972317934,1.526992886334833,462911,20240809
TEa → VIS,TEa,VIS,0.00021229878332484233,1.9590171211715206,462911,20240809
VIS → TEa,VIS,TEa,0.12897181300306582,1.7415293482184502,462911,20240809
TEa → dCA1,TEa,dCA1,0.37804334207341217,1.4818436836489148,462911,20240809
dCA1 → TEa,dCA1,TEa,0.1673795881354816,1.7093430851977915,462911,20240809
VIS → dCA1,VIS,dCA1,0.007725546600780468,1.6066474939386186,462911,20240809
dCA1 → VIS,dCA1,VIS,0.0009494473996409889,1.5790028753899168,462911,20240809
AUD → LEC,AUD,LEC,0.05640387173362811,1.574501070621815,466394,20241107
LEC → AUD,LEC,AUD,0.0052412187836156365,1.710868194738274,466394,20241107
AUD → PERI 35,AUD,PERI 35,0.002845049988552854,1.868020177839108,466394,20241107
PERI 35 → AUD,PERI 35,AUD,0.014632286338068762,1.6666136000893115,466394,20241107
AUD → PERI 36,AUD,PERI 36,0.49070190002615116,1.4700864095477937,466394,20241107
PERI 36 → AUD,PERI 36,AUD,0.08772525944119078,1.5159230052612436,466394,20241107
AUD → TEa,AUD,TEa,0.02453409623315355,1.6067275023141443,466394,20241107
TEa → AUD,TEa,AUD,1.0,1.3322783723436484,466394,20241107
LEC → PERI 35,LEC,PERI 35,0.02453409623315355,1.9617249496766735,466394,20241107
PERI 35 → LEC,PERI 35,LEC,0.49070190002615116,1.660202548559378,466394,20241107
LEC → PERI 36,LEC,PERI 36,0.49070190002615116,1.6961183322874778,466394,20241107
PERI 36 → LEC,PERI 36,LEC,0.05640387173362811,1.7486892741622468,466394,20241107
LEC → TEa,LEC,TEa,0.16934967959825037,1.8281684259005408,466394,20241107
TEa → LEC,TEa,LEC,0.30149236965324705,1.5817370657052683,466394,20241107
PERI 35 → PERI 36,PERI 35,PERI 36,0.16934967959825037,1.7277285494387746,466394,20241107
PERI 36 → PERI 35,PERI 36,PERI 35,0.05640387173362811,1.5845429337834331,466394,20241107
PERI 35 → TEa,PERI 35,TEa,0.16934967959825037,1.4999688678882959,466394,20241107
TEa → PERI 35,TEa,PERI 35,1.0,1.4421201363240965,466394,20241107
PERI 36 → TEa,PERI 36,TEa,0.7304356206920251,1.4263472271622883,466394,20241107
TEa → PERI 36,TEa,PERI 36,0.16934967959825037,1.5092841521854363,466394,20241107
AUD → PERI 35,AUD,PERI 35,0.5360594923053602,1.481367829932108,466394,20241108
PERI 35 → AUD,PERI 35,AUD,0.012319804768401478,1.639280392711794,466394,20241108
AUD → PERI 36,AUD,PERI 36,0.21729536911222747,1.5103902567723728,466394,20241108
PERI 36 → AUD,PERI 36,AUD,0.35375946915992224,1.3652990826108369,466394,20241108
AUD → TEa,AUD,TEa,0.005006098325769065,1.6679741132575752,466394,20241108
TEa → AUD,TEa,AUD,0.5360594923053602,1.4050143284988696,466394,20241108
AUD → dCA1,AUD,dCA1,0.6436884633472872,1.4006736954018697,466394,20241108
dCA1 → AUD,dCA1,AUD,0.04338790283225714,1.4766413377620105,466394,20241108
PERI 35 → PERI 36,PERI 35,PERI 36,0.012319804768401478,1.6145624348913148,466394,20241108
PERI 36 → PERI 35,PERI 36,PERI 35,0.0204426844474854,1.586649811419285,466394,20241108
PERI 35 → TEa,PERI 35,TEa,0.8776103294794947,1.436057496890825,466394,20241108
TEa → PERI 35,TEa,PERI 35,0.756952588258808,1.646347818699406,466394,20241108
PERI 35 → dCA1,PERI 35,dCA1,0.5360594923053602,1.5318511056304893,466394,20241108
dCA1 → PERI 35,dCA1,PERI 35,0.35375946915992224,1.4762842237558287,466394,20241108
PERI 36 → TEa,PERI 36,TEa,0.0204426844474854,1.724206739190009,466394,20241108
TEa → PERI 36,TEa,PERI 36,0.35375946915992224,1.5303808796369636,466394,20241108
PERI 36 → dCA1,PERI 36,dCA1,0.756952588258808,1.4744268038131891,466394,20241108
dCA1 → PERI 36,dCA1,PERI 36,0.5360594923053602,1.5261624605266402,466394,20241108
TEa → dCA1,TEa,dCA1,0.0004987601570013449,1.6276338632690102,466394,20241108
dCA1 → TEa,dCA1,TEa,0.16207518632987944,1.5869489637129404,466394,20241108
AUD → PERI 35,AUD,PERI 35,0.48668872448672357,1.4534769377436896,466395,20241114
PERI 35 → AUD,PERI 35,AUD,0.054168325826818645,1.39114685187456,466395,20241114
AUD → PERI 36,AUD,PERI 36,0.08278113651667136,1.5772554570117017,466395,20241114
PERI 36 → AUD,PERI 36,AUD,0.7282907493817551,1.4694912941334681,466395,20241114
AUD → TEa,AUD,TEa,0.8633462298361186,1.4696701116989304,466395,20241114
TEa → AUD,TEa,AUD,0.2962365918340901,1.4809688378302497,466395,20241114
AUD → dCA1,AUD,dCA1,0.009055127991767966,1.7502895161243481,466395,20241114
dCA1 → AUD,dCA1,AUD,0.48668872448672357,1.5082873349444852,466395,20241114
PERI 35 → PERI 36,PERI 35,PERI 36,0.054168325826818645,1.5615830877517354,466395,20241114
PERI 36 → PERI 35,PERI 36,PERI 35,0.48668872448672357,1.5214553093545946,466395,20241114
PERI 35 → TEa,PERI 35,TEa,0.054168325826818645,1.4783603546242365,466395,20241114
TEa → PERI 35,TEa,PERI 35,0.2962365918340901,1.4563457694310946,466395,20241114
PERI 35 → dCA1,PERI 35,dCA1,0.054168325826818645,1.535645348681935,466395,20241114
dCA1 → PERI 35,dCA1,PERI 35,0.022696394287422646,1.4302710247619912,466395,20241114
PERI 36 → TEa,PERI 36,TEa,0.08278113651667136,1.6020832259375901,466395,20241114
TEa → PERI 36,TEa,PERI 36,0.606106201941108,1.6806943454980483,466395,20241114
PERI 36 → dCA1,PERI 36,dCA1,0.054168325826818645,1.6094437639541153,466395,20241114
dCA1 → PERI 36,dCA1,PERI 36,0.2962365918340901,1.5472202509340887,466395,20241114
TEa → dCA1,TEa,dCA1,0.16377774132708045,1.6273723862988165,466395,20241114
dCA1 → TEa,dCA1,TEa,0.001612337145023545,1.607370178872381,466395,20241114
AUD → TEa,AUD,TEa,0.019425024119230704,1.6236400082921087,466395,20241115
TEa → AUD,TEa,AUD,0.20491190979299645,1.6530400648758443,466395,20241115
AUD → dCA1,AUD,dCA1,0.6718532702067649,1.563382315052953,466395,20241115
dCA1 → AUD,dCA1,AUD,0.8352101575274145,1.262466301104233,466395,20241115
TEa → dCA1,TEa,dCA1,1.0,1.5153690936785107,466395,20241115
dCA1 → TEa,dCA1,TEa,0.3968211760821949,1.6829807269631085,466395,20241115
LEC → PERI 35,LEC,PERI 35,0.1316154867796888,1.2868489246020922,472975,20250326
PERI 35 → LEC,PERI 35,LEC,0.2831726064972886,1.4746973240813455,472975,20250326
LEC → PERI 36,LEC,PERI 36,0.5173042740038056,1.5040429670566402,472975,20250326
PERI 36 → LEC,PERI 36,LEC,0.08010008395047429,1.535750695505892,472975,20250326
LEC → TEa,LEC,TEa,0.38439585416171007,1.3634975812237482,472975,20250326
TEa → LEC,TEa,LEC,0.2831726064972886,1.8358819659626355,472975,20250326
LEC → VIS,LEC,VIS,0.2831726064972886,1.6507105421397177,472975,20250326
VIS → LEC,VIS,LEC,0.014776878148573818,1.532313752985869,472975,20250326
LEC → dCA1,LEC,dCA1,0.6651434909873686,1.2506684868215707,472975,20250326
dCA1 → LEC,dCA1,LEC,0.00757198460416055,1.8024891684887512,472975,20250326
PERI 35 → PERI 36,PERI 35,PERI 36,0.2831726064972886,1.7475664165453408,472975,20250326
PERI 36 → PERI 35,PERI 36,PERI 35,0.18961207410844538,16.891290193448423,472975,20250326
PERI 35 → TEa,PERI 35,TEa,0.08010008395047429,1.5674022702532784,472975,20250326
TEa → PERI 35,TEa,PERI 35,1.0,1.706440716579037,472975,20250326
PERI 35 → VIS,PERI 35,VIS,1.0,1.9694261226354723,472975,20250326
VIS → PERI 35,VIS,PERI 35,0.014776878148573818,1.7682395724388076,472975,20250326
PERI 35 → dCA1,PERI 35,dCA1,0.1316154867796888,1.4566705965323434,472975,20250326
dCA1 → PERI 35,dCA1,PERI 35,0.030725574538148857,1.4866494694931258,472975,20250326
PERI 36 → TEa,PERI 36,TEa,0.001709390472142997,2.117916216936256,472975,20250326
TEa → PERI 36,TEa,PERI 36,0.5173042740038056,1.8711628880594269,472975,20250326
PERI 36 → VIS,PERI 36,VIS,0.8288177487558743,1.5800075725656395,472975,20250326
VIS → PERI 36,VIS,PERI 36,0.2831726064972886,1.758787502638468,472975,20250326
PERI 36 → dCA1,PERI 36,dCA1,0.2831726064972886,1.6070383623612496,472975,20250326
dCA1 → PERI 36,dCA1,PERI 36,0.8288177487558743,1.5528875409713971,472975,20250326
TEa → VIS,TEa,VIS,0.030725574538148857,3.6673488773596925,472975,20250326
VIS → TEa,VIS,TEa,0.5173042740038056,1.8604617040723241,472975,20250326
TEa → dCA1,TEa,dCA1,0.5173042740038056,1.5768466636327734,472975,20250326
dCA1 → TEa,dCA1,TEa,0.5173042740038056,1.4668562849359972,472975,20250326
VIS → dCA1,VIS,dCA1,1.0,1.6079243347344223,472975,20250326
dCA1 → VIS,dCA1,VIS,0.030725574538148857,1.6743999363701878,472975,20250326
