start_times,end_times,start_indexes,end_indexes,prob,best_channel,subject,date,probe
4434.3648,4434.3832,1253928,1253951,0.99310064,96,459601,20240410,probe01
4434.4608,4434.504800000001,1254048,1254103,0.9984848,96,459601,20240410,probe01
4444.72,4444.7576,1266872,1266919,0.982881,96,459601,20240410,probe01
4459.9712,4460.0024,1285936,1285975,0.98938733,96,459601,20240410,probe01
4464.9568,4465.0072,1292168,1292231,0.99750686,96,459601,20240410,probe01
4470.620800000001,4470.6584,1299248,1299295,0.9942074,96,459601,20240410,probe01
4471.3248,4471.3752,1300128,1300191,0.99897975,96,459601,20240410,probe01
4473.3344,4473.352800000001,1302640,1302663,0.9957099,96,459601,20240410,probe01
4474.9984,4475.0168,1304720,1304743,0.991758,96,459601,20240410,probe01
4476.4384,4476.4568,1306520,1306543,0.98901105,96,459601,20240410,probe01
4477.0976,4477.116,1307344,1307367,0.99493426,96,459601,20240410,probe01
4483.1264,4483.1576000000005,1314880,1314919,0.99005663,96,459601,20240410,probe01
4485.3472,4485.3656,1317656,1317679,0.99150777,96,459601,20240410,probe01
4498.7488,4498.7736,1334408,1334439,0.9990112,96,459601,20240410,probe01
4503.9776,4504.0088,1340944,1340983,0.9888067,96,459601,20240410,probe01
4512.8032,4512.8664,1351976,1352055,0.995576,96,459601,20240410,probe01
4513.5328,4513.564,1352888,1352927,0.99718755,96,459601,20240410,probe01
4514.352,4514.396000000001,1353912,1353967,0.9961784,96,459601,20240410,probe01
4514.5504,4514.5688,1354160,1354183,0.9893555,96,459601,20240410,probe01
3240.7552,3240.7736,11768,11791,0.9981297,314,459601,20240411,probe01
3464.7936,3464.8184,291816,291847,0.9884302,314,459601,20240411,probe01
3485.5616,3485.5864,317776,317807,0.99562776,314,459601,20240411,probe01
3534.2848,3534.3032,378680,378703,0.9906258,314,459601,20240411,probe01
3788.4287999999997,3788.4536,696360,696391,0.98311126,314,459601,20240411,probe01
3809.376,3809.4136,722544,722591,0.99541926,314,459601,20240411,probe01
3955.0464,3955.0648,904632,904655,0.99318504,314,459601,20240411,probe01
