accuracy,position,region,n_trials,subject,date,probe
0.47599999999999987,960,PERI,30,459601,20240409,probe00
0.49866666666666676,970,PERI,30,459601,20240409,probe00
0.46599999999999986,980,PERI,30,459601,20240409,probe00
0.4539999999999999,990,PERI,30,459601,20240409,probe00
0.4566666666666667,1000,PERI,30,459601,20240409,probe00
0.45733333333333337,1010,PERI,30,459601,20240409,probe00
0.4753333333333334,1020,PERI,30,459601,20240409,probe00
0.4833333333333333,1030,PERI,30,459601,20240409,probe00
0.47533333333333333,1040,PERI,30,459601,20240409,probe00
0.45599999999999996,1050,PERI,30,459601,20240409,probe00
0.506,1060,PERI,30,459601,20240409,probe00
0.48266666666666663,1070,PERI,30,459601,20240409,probe00
0.47600000000000003,1080,PERI,30,459601,20240409,probe00
0.45599999999999996,1090,PERI,30,459601,20240409,probe00
0.45800000000000013,1100,PERI,30,459601,20240409,probe00
0.4726666666666668,1110,PERI,30,459601,20240409,probe00
0.4726666666666665,1120,PERI,30,459601,20240409,probe00
0.4879999999999999,1130,PERI,30,459601,20240409,probe00
0.4600000000000001,1140,PERI,30,459601,20240409,probe00
0.4713333333333333,1150,PERI,30,459601,20240409,probe00
0.4886666666666665,1160,PERI,30,459601,20240409,probe00
0.4726666666666667,1170,PERI,30,459601,20240409,probe00
0.4860000000000001,1180,PERI,30,459601,20240409,probe00
0.48266666666666663,1190,PERI,30,459601,20240409,probe00
0.4873333333333333,1200,PERI,30,459601,20240409,probe00
0.4626666666666667,1210,PERI,30,459601,20240409,probe00
0.4766666666666668,1220,PERI,30,459601,20240409,probe00
0.5066666666666666,1230,PERI,30,459601,20240409,probe00
0.4679999999999998,1240,PERI,30,459601,20240409,probe00
0.4866666666666668,1250,PERI,30,459601,20240409,probe00
0.4486666666666666,1260,PERI,30,459601,20240409,probe00
0.5093333333333332,1270,PERI,30,459601,20240409,probe00
0.4593333333333332,1280,PERI,30,459601,20240409,probe00
0.4533333333333332,1290,PERI,30,459601,20240409,probe00
0.47733333333333333,1300,PERI,30,459601,20240409,probe00
0.5113333333333332,1310,PERI,30,459601,20240409,probe00
0.4886666666666665,1320,PERI,30,459601,20240409,probe00
0.4573333333333334,1330,PERI,30,459601,20240409,probe00
0.4706666666666667,1340,PERI,30,459601,20240409,probe00
0.4586666666666666,1350,PERI,30,459601,20240409,probe00
0.48066666666666663,1360,PERI,30,459601,20240409,probe00
0.47800000000000004,1370,PERI,30,459601,20240409,probe00
0.4726666666666667,1380,PERI,30,459601,20240409,probe00
0.4826666666666668,1390,PERI,30,459601,20240409,probe00
0.4893333333333333,1400,PERI,30,459601,20240409,probe00
0.4313333333333334,1410,PERI,30,459601,20240409,probe00
0.4633333333333332,1420,PERI,30,459601,20240409,probe00
0.4793333333333334,1430,PERI,30,459601,20240409,probe00
0.49733333333333335,1440,PERI,30,459601,20240409,probe00
0.47999999999999976,1450,PERI,30,459601,20240409,probe00
0.4780000000000001,1460,PERI,30,459601,20240409,probe00
0.4800000000000001,1470,PERI,30,459601,20240409,probe00
0.46466666666666656,30,TEa,30,459601,20240409,probe00
0.46133333333333326,40,TEa,30,459601,20240409,probe00
0.4646666666666667,50,TEa,30,459601,20240409,probe00
0.482,60,TEa,30,459601,20240409,probe00
0.4693333333333333,70,TEa,30,459601,20240409,probe00
0.4566666666666667,80,TEa,30,459601,20240409,probe00
0.4899999999999999,90,TEa,30,459601,20240409,probe00
0.4646666666666667,100,TEa,30,459601,20240409,probe00
0.48533333333333323,110,TEa,30,459601,20240409,probe00
0.4700000000000001,120,TEa,30,459601,20240409,probe00
0.46399999999999997,130,TEa,30,459601,20240409,probe00
0.4479999999999999,140,TEa,30,459601,20240409,probe00
0.44999999999999984,150,TEa,30,459601,20240409,probe00
0.46799999999999997,160,TEa,30,459601,20240409,probe00
0.4660000000000001,170,TEa,30,459601,20240409,probe00
0.4526666666666666,180,TEa,30,459601,20240409,probe00
0.4373333333333334,190,TEa,30,459601,20240409,probe00
0.43133333333333346,200,TEa,30,459601,20240409,probe00
0.45799999999999985,210,TEa,30,459601,20240409,probe00
0.4466666666666667,220,TEa,30,459601,20240409,probe00
0.45733333333333337,230,TEa,30,459601,20240409,probe00
0.47666666666666674,240,TEa,30,459601,20240409,probe00
0.45599999999999996,250,TEa,30,459601,20240409,probe00
0.4686666666666666,260,TEa,30,459601,20240409,probe00
0.47,270,TEa,30,459601,20240409,probe00
0.45799999999999996,280,TEa,30,459601,20240409,probe00
0.4526666666666666,290,TEa,30,459601,20240409,probe00
0.468,300,TEa,30,459601,20240409,probe00
0.49133333333333323,310,TEa,30,459601,20240409,probe00
0.47999999999999987,320,TEa,30,459601,20240409,probe00
0.45733333333333326,330,TEa,30,459601,20240409,probe00
0.43800000000000006,340,TEa,30,459601,20240409,probe00
0.47,350,TEa,30,459601,20240409,probe00
0.45466666666666666,360,TEa,30,459601,20240409,probe00
0.49133333333333323,370,TEa,30,459601,20240409,probe00
0.46599999999999986,380,TEa,30,459601,20240409,probe00
0.4966666666666668,390,TEa,30,459601,20240409,probe00
0.4773333333333332,400,TEa,30,459601,20240409,probe00
0.4779999999999999,410,TEa,30,459601,20240409,probe00
0.5006666666666667,420,TEa,30,459601,20240409,probe00
0.4879999999999999,430,TEa,30,459601,20240409,probe00
0.478,440,TEa,30,459601,20240409,probe00
0.46266666666666667,450,TEa,30,459601,20240409,probe00
0.46800000000000025,460,TEa,30,459601,20240409,probe00
0.49400000000000005,470,TEa,30,459601,20240409,probe00
0.47533333333333316,480,TEa,30,459601,20240409,probe00
0.46933333333333316,490,TEa,30,459601,20240409,probe00
0.4799999999999999,500,TEa,30,459601,20240409,probe00
0.47133333333333327,510,TEa,30,459601,20240409,probe00
0.47666666666666674,520,TEa,30,459601,20240409,probe00
0.4553333333333333,530,TEa,30,459601,20240409,probe00
0.47800000000000004,540,TEa,30,459601,20240409,probe00
0.49600000000000016,550,TEa,30,459601,20240409,probe00
0.4773333333333333,560,TEa,30,459601,20240409,probe00
0.4733333333333333,570,TEa,30,459601,20240409,probe00
0.4699999999999999,580,TEa,30,459601,20240409,probe00
0.45666666666666655,590,TEa,30,459601,20240409,probe00
0.4873333333333333,600,TEa,30,459601,20240409,probe00
0.4673333333333333,610,TEa,30,459601,20240409,probe00
0.456,620,TEa,30,459601,20240409,probe00
0.4693333333333334,630,TEa,30,459601,20240409,probe00
0.48133333333333334,640,TEa,30,459601,20240409,probe00
0.48200000000000004,650,TEa,30,459601,20240409,probe00
0.46199999999999997,660,TEa,30,459601,20240409,probe00
0.4573333333333332,670,TEa,30,459601,20240409,probe00
0.4773333333333334,680,TEa,30,459601,20240409,probe00
0.46599999999999997,690,TEa,30,459601,20240409,probe00
0.48733333333333334,700,TEa,30,459601,20240409,probe00
0.48866666666666636,710,TEa,30,459601,20240409,probe00
0.48333333333333345,720,TEa,30,459601,20240409,probe00
0.44999999999999984,730,TEa,30,459601,20240409,probe00
0.4606666666666668,740,TEa,30,459601,20240409,probe00
0.4746666666666666,750,TEa,30,459601,20240409,probe00
0.49199999999999994,760,TEa,30,459601,20240409,probe00
0.4473333333333332,770,TEa,30,459601,20240409,probe00
0.45999999999999985,780,TEa,30,459601,20240409,probe00
0.49,790,TEa,30,459601,20240409,probe00
0.486,800,TEa,30,459601,20240409,probe00
0.45733333333333326,810,TEa,30,459601,20240409,probe00
0.48466666666666675,820,TEa,30,459601,20240409,probe00
0.46399999999999997,830,TEa,30,459601,20240409,probe00
0.4906666666666669,840,TEa,30,459601,20240409,probe00
0.4906666666666666,850,TEa,30,459601,20240409,probe00
0.474,860,TEa,30,459601,20240409,probe00
0.4813333333333333,870,TEa,30,459601,20240409,probe00
0.47666666666666685,880,TEa,30,459601,20240409,probe00
0.4506666666666666,890,TEa,30,459601,20240409,probe00
0.4793333333333332,900,TEa,30,459601,20240409,probe00
0.4873333333333331,910,TEa,30,459601,20240409,probe00
0.4593333333333334,920,TEa,30,459601,20240409,probe00
0.5066666666666667,930,TEa,30,459601,20240409,probe00
0.4680000000000002,940,TEa,30,459601,20240409,probe00
0.4606666666666667,950,TEa,30,459601,20240409,probe00
0.46,960,TEa,30,459601,20240409,probe00
0.48066666666666663,970,TEa,30,459601,20240409,probe00
0.45866666666666667,980,TEa,30,459601,20240409,probe00
0.4553333333333333,990,TEa,30,459601,20240409,probe00
0.48266666666666663,1000,TEa,30,459601,20240409,probe00
0.49799999999999983,1010,TEa,30,459601,20240409,probe00
0.484,1020,TEa,30,459601,20240409,probe00
0.5073333333333333,1030,TEa,30,459601,20240409,probe00
