,p_value,region,subject,date
6,0.8307390974654691,vCA1,462910,20240813
7,0.4966214670767577,vCA1,462910,20240813
8,0.6217981560733106,vCA1,462910,20240813
9,0.49069536947389003,vCA1,462910,20240813
10,0.9152453953882566,vCA1,462910,20240813
11,0.014520078667542458,vCA1,462910,20240813
12,0.6915409991975547,vCA1,462910,20240813
13,0.38234609892119054,vCA1,462910,20240813
14,0.5589326206090012,vCA1,462910,20240813
15,0.5224017678210376,vCA1,462910,20240813
16,0.5464530800455516,vCA1,462910,20240813
17,0.9572984226677232,vCA1,462910,20240813
18,0.29489039451145227,vCA1,462910,20240813
19,0.4644562718842722,vCA1,462910,20240813
20,0.36848682508007946,vCA1,462910,20240813
21,0.770165328574175,vCA1,462910,20240813
0,0.6738314996615595,dCA1,462910,20240813
1,0.7952961159442458,dCA1,462910,20240813
2,0.7790993408503348,dCA1,462910,20240813
3,0.9925842945919245,dCA1,462910,20240813
4,0.870629018918087,dCA1,462910,20240813
5,0.8823456964182856,dCA1,462910,20240813
6,0.14485623222989474,dCA1,462910,20240813
7,0.6302113920865057,dCA1,462910,20240813
8,0.4610904043999118,dCA1,462910,20240813
9,0.6903686331547765,dCA1,462910,20240813
10,0.6662790084366667,dCA1,462910,20240813
11,0.8014640438489813,dCA1,462910,20240813
0,0.740382420967564,AUD,462910,20240814
1,0.4511397438751442,AUD,462910,20240814
0,0.8115972912251925,ENT,462910,20240814
1,0.9649793994957737,ENT,462910,20240814
2,0.8068845618817799,ENT,462910,20240814
3,0.8519983730524994,ENT,462910,20240814
0,0.28951604395160435,PERI 35,462910,20240814
1,0.2556082983037926,PERI 35,462910,20240814
0,0.08225586051921685,PERI 36,462910,20240814
1,0.3582308422783187,PERI 36,462910,20240814
2,0.3732614402462969,PERI 36,462910,20240814
3,0.3774756148017946,PERI 36,462910,20240814
4,0.32779263459004804,PERI 36,462910,20240814
5,0.09207415046571821,PERI 36,462910,20240814
6,0.466011093874505,PERI 36,462910,20240814
0,0.03747082788993983,vCA1,462910,20240814
1,0.010270082141095926,vCA1,462910,20240814
2,0.3551071043840074,vCA1,462910,20240814
3,0.9582829205585044,vCA1,462910,20240814
4,0.6018899770035986,vCA1,462910,20240814
5,0.9650802305580436,vCA1,462910,20240814
6,0.07017740540180117,vCA1,462910,20240814
7,0.06944001039889991,vCA1,462910,20240814
0,0.6292740043342571,dCA1,462910,20240814
1,0.5087467650194486,dCA1,462910,20240814
2,0.232642818696165,dCA1,462910,20240814
3,0.8807482085484718,dCA1,462910,20240814
4,0.9888475058909459,dCA1,462910,20240814
5,0.7436419984843623,dCA1,462910,20240814
6,0.4392409326755914,dCA1,462910,20240814
7,0.12013978394802038,dCA1,462910,20240814
8,0.03473645013668747,dCA1,462910,20240814
9,0.20195899137928375,dCA1,462910,20240814
10,0.04065436110151821,dCA1,462910,20240814
11,0.38264962651070533,dCA1,462910,20240814
0,0.8846367284090144,VIS,462910,20240815
1,0.6024067182320099,VIS,462910,20240815
2,0.31753090287361097,VIS,462910,20240815
3,0.3331255010241475,VIS,462910,20240815
4,0.26927290646594026,VIS,462910,20240815
5,0.6922326734374954,VIS,462910,20240815
6,0.25032455089610384,VIS,462910,20240815
7,0.03641586524584883,VIS,462910,20240815
8,0.18282247140452323,VIS,462910,20240815
9,0.29749742537327717,VIS,462910,20240815
10,0.126833643021949,VIS,462910,20240815
11,0.8832759015836031,VIS,462910,20240815
12,0.11983844558801904,VIS,462910,20240815
13,0.6106843455200885,VIS,462910,20240815
14,0.18891596929950705,VIS,462910,20240815
15,0.8218813897173203,VIS,462910,20240815
16,0.5126214351901329,VIS,462910,20240815
17,0.8160729406777538,VIS,462910,20240815
18,0.8686989123015134,VIS,462910,20240815
19,0.3827267659727339,VIS,462910,20240815
20,0.3458175434757532,VIS,462910,20240815
21,0.4061057825280119,VIS,462910,20240815
22,0.5260176151463614,VIS,462910,20240815
23,0.3261930619576774,VIS,462910,20240815
0,0.8030566741979623,vCA1,462910,20240815
1,0.9926656505016633,vCA1,462910,20240815
2,0.21084997944776018,vCA1,462910,20240815
3,0.6444146431899156,vCA1,462910,20240815
4,0.11072774798205032,vCA1,462910,20240815
5,0.07762746756365324,vCA1,462910,20240815
6,0.4781534221897292,vCA1,462910,20240815
7,0.6105268895053041,vCA1,462910,20240815
8,0.9437834389247095,vCA1,462910,20240815
9,0.6560386159590816,vCA1,462910,20240815
10,0.9306276806326124,vCA1,462910,20240815
11,0.5837968585266395,vCA1,462910,20240815
12,0.5745722615088221,vCA1,462910,20240815
13,0.8795406434653182,vCA1,462910,20240815
14,0.7080568627899124,vCA1,462910,20240815
15,0.5231538751555193,vCA1,462910,20240815
16,0.36082150375396593,vCA1,462910,20240815
17,0.20059354932677975,vCA1,462910,20240815
18,0.7029045321935317,vCA1,462910,20240815
19,0.42917766961087467,vCA1,462910,20240815
20,0.17599037965300268,vCA1,462910,20240815
21,0.008583989901138622,vCA1,462910,20240815
22,0.3109134577162812,vCA1,462910,20240815
23,0.24527121993117162,vCA1,462910,20240815
0,0.15169947604901668,dCA1,462910,20240815
1,0.18515107678890264,dCA1,462910,20240815
2,0.9676712078687062,dCA1,462910,20240815
3,0.9654771593983879,dCA1,462910,20240815
4,0.6420746841204111,dCA1,462910,20240815
5,0.36066716244500097,dCA1,462910,20240815
6,0.4607691826993622,dCA1,462910,20240815
0,0.9905106018951543,AUD,462911,20240809
1,0.017986340424929637,AUD,462911,20240809
2,0.1447841250330888,AUD,462911,20240809
3,0.5371040608952028,AUD,462911,20240809
4,0.11800917065318273,AUD,462911,20240809
5,0.17286003668162653,AUD,462911,20240809
6,0.14391865455292085,AUD,462911,20240809
7,0.045823909837975574,AUD,462911,20240809
8,0.4287685977827854,AUD,462911,20240809
9,0.7053815234839165,AUD,462911,20240809
10,0.4232980118882539,AUD,462911,20240809
11,0.786699379224753,AUD,462911,20240809
12,0.891039447969193,AUD,462911,20240809
13,0.9936168543685788,AUD,462911,20240809
0,0.17696682276064246,PERI 35,462911,20240809
1,0.8378108827411019,PERI 35,462911,20240809
2,0.6175542054259267,PERI 35,462911,20240809
3,0.4712804013359264,PERI 35,462911,20240809
0,0.8698195306406018,PERI 36,462911,20240809
1,0.701508873783194,PERI 36,462911,20240809
2,0.3081192097231217,PERI 36,462911,20240809
3,0.3894479564627137,PERI 36,462911,20240809
4,0.050483276881628125,PERI 36,462911,20240809
5,0.747405261348657,PERI 36,462911,20240809
6,0.11505894841861808,PERI 36,462911,20240809
7,0.08679051976404839,PERI 36,462911,20240809
8,0.07277031927159572,PERI 36,462911,20240809
9,0.5711137734397906,PERI 36,462911,20240809
10,0.21427711278977435,PERI 36,462911,20240809
0,0.11708520168562386,TEa,462911,20240809
1,0.33933637702440034,TEa,462911,20240809
2,0.9723531960050811,TEa,462911,20240809
3,0.34823355009163703,TEa,462911,20240809
4,0.8452332457890439,TEa,462911,20240809
5,0.7766068433910475,TEa,462911,20240809
6,0.48459133824405265,TEa,462911,20240809
7,0.7620602963512387,TEa,462911,20240809
0,0.9519800148088502,VIS,462911,20240809
1,0.2940760898094713,VIS,462911,20240809
2,0.5148811162276037,VIS,462911,20240809
3,0.24571003495629662,VIS,462911,20240809
4,0.6609361654297119,VIS,462911,20240809
0,0.20852060262537808,dCA1,462911,20240809
1,0.18169465798975903,dCA1,462911,20240809
2,0.8472940668082466,dCA1,462911,20240809
3,0.45126790655534266,dCA1,462911,20240809
4,0.29442362896044394,dCA1,462911,20240809
5,0.05661285606629274,dCA1,462911,20240809
6,0.14419586845498156,dCA1,462911,20240809
7,0.33879414172307654,dCA1,462911,20240809
8,0.07936053643383123,dCA1,462911,20240809
9,0.6455276982795697,dCA1,462911,20240809
10,0.64191741655074,dCA1,462911,20240809
11,0.8443792891221078,dCA1,462911,20240809
12,0.20253614263223618,dCA1,462911,20240809
13,0.33065047726152996,dCA1,462911,20240809
14,0.8318922959093995,dCA1,462911,20240809
15,0.1640085972991845,dCA1,462911,20240809
0,0.7268794986846671,dCA1,466394,20241105
1,0.5898547160340273,dCA1,466394,20241105
2,0.8340179997454419,dCA1,466394,20241105
3,0.14862266236230015,dCA1,466394,20241105
4,0.5821400164246775,dCA1,466394,20241105
5,0.17488806804664603,dCA1,466394,20241105
6,0.7205586548914291,dCA1,466394,20241105
7,0.9757536029437466,dCA1,466394,20241105
8,0.1513658517168719,dCA1,466394,20241105
9,0.5798095937717235,dCA1,466394,20241105
10,0.9521728180400751,dCA1,466394,20241105
11,0.799736893697694,dCA1,466394,20241105
12,0.9672765173775063,dCA1,466394,20241105
