region_pair,region1,region2,object,p_value,f_stat,subject,date
VIS → TEa,VIS,TEa,object3,0.090667915769316,1.0292424475326296,459601,20240410
TEa → dCA1,TEa,dCA1,object1,0.090667915769316,1.1345518560488628,459601,20240410
dCA1 → TEa,dCA1,TEa,object1,0.090667915769316,1.1697408009378139,459601,20240410
TEa → dCA1,TEa,dCA1,object2,0.0024480283851700557,1.1988707103721221,459601,20240410
dCA1 → TEa,dCA1,TEa,object2,4.4948443779588886e-07,1.270999570795681,459601,20240410
TEa → dCA1,TEa,dCA1,object3,0.03170948439811572,1.0469145189106523,459601,20240410
dCA1 → TEa,dCA1,TEa,object3,0.518211954897537,0.9683226565132147,459601,20240410
VIS → dCA1,VIS,dCA1,object1,5.8344587821713215e-08,1.4151613386226305,459601,20240410
dCA1 → VIS,dCA1,VIS,object1,0.090667915769316,1.157805959468719,459601,20240410
VIS → dCA1,VIS,dCA1,object2,7.255320362220053e-11,1.3665401903205872,459601,20240410
dCA1 → VIS,dCA1,VIS,object2,0.0024480283851700557,1.1370828553167034,459601,20240410
VIS → dCA1,VIS,dCA1,object3,0.0005537341274898914,1.1648877132091464,459601,20240410
dCA1 → VIS,dCA1,VIS,object3,0.03170948439811572,0.9759355713029656,459601,20240410
LEC → PERI 35,LEC,PERI 35,object1,5.350040062538822e-05,1.1834668953519274,459601,20240411
PERI 35 → LEC,PERI 35,LEC,object1,1.248513229775116e-05,1.1354345501177423,459601,20240411
LEC → PERI 35,LEC,PERI 35,object2,0.0025611951714927966,1.194937292285305,459601,20240411
PERI 35 → LEC,PERI 35,LEC,object2,0.13087652047825624,1.0824481966765649,459601,20240411
LEC → PERI 35,LEC,PERI 35,object3,0.0007695437662409166,1.0500610508169088,459601,20240411
PERI 35 → LEC,PERI 35,LEC,object3,0.00021161723214932238,1.1584979552785246,459601,20240411
LEC → PERI 36,LEC,PERI 36,object1,0.0025611951714927966,1.1458117171646374,459601,20240411
PERI 36 → LEC,PERI 36,LEC,object1,0.02129820103003169,1.0662234156629942,459601,20240411
LEC → PERI 36,LEC,PERI 36,object2,0.3061425364016704,1.1266857546841116,459601,20240411
PERI 36 → LEC,PERI 36,LEC,object2,0.02129820103003169,1.0986615497683105,459601,20240411
LEC → PERI 36,LEC,PERI 36,object3,5.350040062538822e-05,1.1342128036092713,459601,20240411
PERI 36 → LEC,PERI 36,LEC,object3,0.02129820103003169,1.0483379727375197,459601,20240411
LEC → TEa,LEC,TEa,object1,0.02129820103003169,1.0733080194385165,459601,20240411
TEa → LEC,TEa,LEC,object1,0.13087652047825624,0.9789354122975453,459601,20240411
LEC → TEa,LEC,TEa,object2,2.6990331879991687e-06,1.1420577731028396,459601,20240411
TEa → LEC,TEa,LEC,object2,0.06748301608180704,1.1216286053192281,459601,20240411
LEC → TEa,LEC,TEa,object3,0.13087652047825624,1.0877331793711384,459601,20240411
TEa → LEC,TEa,LEC,object3,0.00021161723214932238,1.1432444830149753,459601,20240411
LEC → VIS,LEC,VIS,object1,1.0,0.9952075227072766,459601,20240411
VIS → LEC,VIS,LEC,object1,0.007761961056182307,1.059572861244087,459601,20240411
LEC → VIS,LEC,VIS,object2,0.007761961056182307,1.2198087187545208,459601,20240411
VIS → LEC,VIS,LEC,object2,5.422284499946158e-07,1.2135371165199187,459601,20240411
LEC → VIS,LEC,VIS,object3,0.0025611951714927966,1.1452681415943315,459601,20240411
VIS → LEC,VIS,LEC,object3,0.0025611951714927966,1.0832798113784041,459601,20240411
LEC → dCA1,LEC,dCA1,object1,2.6990331879991687e-06,1.1837478917140747,459601,20240411
dCA1 → LEC,dCA1,LEC,object1,0.0025611951714927966,1.0397784349731385,459601,20240411
LEC → dCA1,LEC,dCA1,object2,1.0151912272433631e-07,1.318730329999788,459601,20240411
dCA1 → LEC,dCA1,LEC,object2,1.248513229775116e-05,1.141592823676885,459601,20240411
LEC → dCA1,LEC,dCA1,object3,0.00021161723214932238,1.144193840563211,459601,20240411
dCA1 → LEC,dCA1,LEC,object3,0.007761961056182307,0.9481798911180025,459601,20240411
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.00021161723214932238,1.078857605832333,459601,20240411
PERI 36 → PERI 35,PERI 36,PERI 35,object1,1.248513229775116e-05,1.0774586984680603,459601,20240411
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.0007695437662409166,1.1170054656784147,459601,20240411
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.13087652047825624,1.0977287742823831,459601,20240411
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.0007695437662409166,1.0690180045392128,459601,20240411
PERI 36 → PERI 35,PERI 36,PERI 35,object3,5.422284499946158e-07,1.174325369037191,459601,20240411
PERI 35 → TEa,PERI 35,TEa,object1,5.350040062538822e-05,1.1064976844739627,459601,20240411
TEa → PERI 35,TEa,PERI 35,object1,5.350040062538822e-05,1.0566808953051727,459601,20240411
PERI 35 → TEa,PERI 35,TEa,object2,0.0007695437662409166,1.1113568839414638,459601,20240411
TEa → PERI 35,TEa,PERI 35,object2,0.02129820103003169,1.0424279416670372,459601,20240411
PERI 35 → TEa,PERI 35,TEa,object3,0.02129820103003169,1.0876403291754169,459601,20240411
TEa → PERI 35,TEa,PERI 35,object3,0.02129820103003169,1.0904454946357,459601,20240411
PERI 35 → VIS,PERI 35,VIS,object1,0.0025611951714927966,1.126225212340608,459601,20240411
VIS → PERI 35,VIS,PERI 35,object1,5.422284499946158e-07,1.111926655131208,459601,20240411
PERI 35 → VIS,PERI 35,VIS,object2,0.13087652047825624,1.1587528589567573,459601,20240411
VIS → PERI 35,VIS,PERI 35,object2,1.7758578067704248e-08,1.2718240055323435,459601,20240411
PERI 35 → VIS,PERI 35,VIS,object3,0.0025611951714927966,1.1213475157439718,459601,20240411
VIS → PERI 35,VIS,PERI 35,object3,1.248513229775116e-05,1.1813490957670085,459601,20240411
PERI 35 → dCA1,PERI 35,dCA1,object1,0.00021161723214932238,1.127367169498964,459601,20240411
dCA1 → PERI 35,dCA1,PERI 35,object1,0.06748301608180704,1.0460895682529632,459601,20240411
PERI 35 → dCA1,PERI 35,dCA1,object2,0.007761961056182307,1.1486569588574935,459601,20240411
dCA1 → PERI 35,dCA1,PERI 35,object2,0.06748301608180704,1.0451401565806684,459601,20240411
PERI 35 → dCA1,PERI 35,dCA1,object3,0.02129820103003169,1.0196137305454684,459601,20240411
dCA1 → PERI 35,dCA1,PERI 35,object3,0.0007695437662409166,1.0738729679471501,459601,20240411
PERI 36 → TEa,PERI 36,TEa,object1,0.6075082390785917,1.0184687219919493,459601,20240411
TEa → PERI 36,TEa,PERI 36,object1,1.248513229775116e-05,1.0722733607249806,459601,20240411
PERI 36 → TEa,PERI 36,TEa,object2,5.350040062538822e-05,1.3542064842395563,459601,20240411
TEa → PERI 36,TEa,PERI 36,object2,6.462014703754374e-11,1.4245700695311083,459601,20240411
PERI 36 → TEa,PERI 36,TEa,object3,0.0025611951714927966,1.1737706938364536,459601,20240411
TEa → PERI 36,TEa,PERI 36,object3,0.0007695437662409166,1.0652480992095388,459601,20240411
PERI 36 → VIS,PERI 36,VIS,object1,0.0025611951714927966,1.1219646449509564,459601,20240411
VIS → PERI 36,VIS,PERI 36,object1,0.0025611951714927966,1.1380921099188883,459601,20240411
PERI 36 → VIS,PERI 36,VIS,object2,0.06748301608180704,1.1014479327466582,459601,20240411
VIS → PERI 36,VIS,PERI 36,object2,1.0151912272433631e-07,1.266223285618189,459601,20240411
PERI 36 → VIS,PERI 36,VIS,object3,0.0007695437662409166,1.112549894109941,459601,20240411
