distance,lda_distance,region
41.5,3.187555294247862,PERI 36
41.5,0.6717275703137914,TEa
41.5,0.4119474491127564,VIS
42.5,1.21981561025585,PERI 35
42.5,2.3960109921312345,PERI 36
42.5,0.47775239822988236,TEa
42.5,2.012405405003804,VIS
43.5,0.8023340360632669,PERI 35
43.5,3.6374680976041858,PERI 36
43.5,0.3522484277676792,TEa
43.5,0.9624686514151213,VIS
44.5,0.9943334581907095,PERI 35
44.5,0.6562462070676554,PERI 36
44.5,0.7941026467611514,TEa
44.5,1.7137360741136032,VIS
45.5,0.34547590946777906,PERI 35
45.5,0.16324016041012568,PERI 36
45.5,1.6314864956209674,TEa
45.5,1.9741430932374353,VIS
46.5,1.4719172561547393,PERI 35
46.5,5.8234077508218105,PERI 36
46.5,1.789459907038506,TEa
