subject,session,source_region,target_region,region_pair,position,accuracy,decoder_type,is_far
459601,20240409,CA1,PERI,CA1->PERI,325.0,0.5714285714285714,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,325.0,0.4642857142857143,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,325.0,0.4642857142857143,source,1
459601,20240409,CA1,PERI,CA1->PERI,335.0,0.4642857142857143,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,335.0,0.4642857142857143,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,335.0,0.39285714285714285,source,1
459601,20240409,CA1,PERI,CA1->PERI,345.0,0.6428571428571429,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,345.0,0.32142857142857145,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,345.0,0.4642857142857143,source,1
459601,20240409,CA1,PERI,CA1->PERI,355.0,0.5357142857142857,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,355.0,0.39285714285714285,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,355.0,0.5714285714285714,source,1
459601,20240409,CA1,PERI,CA1->PERI,365.0,0.5,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,365.0,0.6071428571428571,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,365.0,0.39285714285714285,source,1
459601,20240409,CA1,PERI,CA1->PERI,375.0,0.39285714285714285,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,375.0,0.5714285714285714,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,375.0,0.5714285714285714,source,1
459601,20240409,CA1,PERI,CA1->PERI,385.0,0.5357142857142857,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,385.0,0.5357142857142857,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,385.0,0.42857142857142855,source,1
459601,20240409,CA1,PERI,CA1->PERI,395.0,0.4642857142857143,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,395.0,0.4642857142857143,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,395.0,0.7142857142857143,source,1
459601,20240409,CA1,PERI,CA1->PERI,405.0,0.39285714285714285,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,405.0,0.6785714285714286,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,405.0,0.5714285714285714,source,1
459601,20240409,CA1,PERI,CA1->PERI,415.0,0.35714285714285715,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,415.0,0.5,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,415.0,0.6785714285714286,source,1
459601,20240409,CA1,PERI,CA1->PERI,425.0,0.5714285714285714,predicted_target_rrr,1
