distance,lda_distance,region,control
13.5,1.0201232684972998,PERI 35,1
13.5,4.022722418023148,PERI 36,0
13.5,0.8185843314176542,PERI 36,1
13.5,0.33054438541978454,TEa,0
13.5,0.022275624372813607,TEa,1
13.5,0.7820607543773233,VIS,0
13.5,0.2229624040142869,VIS,1
14.5,1.1696196423336205,PERI 35,0
14.5,0.6538610702808646,PERI 35,1
14.5,2.567360768884982,PERI 36,0
14.5,0.2609583208048464,PERI 36,1
14.5,0.08941740127869446,TEa,0
14.5,0.5043638980646743,TEa,1
14.5,0.9109076797707525,VIS,0
14.5,0.061301591583463794,VIS,1
15.5,1.344211849850267,PERI 35,0
15.5,0.445637275037631,PERI 35,1
15.5,2.010565608002432,PERI 36,0
15.5,0.4779510088088166,PERI 36,1
15.5,0.5078999715371089,TEa,0
15.5,0.7245458561324524,TEa,1
15.5,1.3098524228771766,VIS,0
15.5,0.1541939902881448,VIS,1
16.5,0.8776713385694181,PERI 35,0
16.5,0.2333298801777457,PERI 35,1
16.5,7.136875154587449,PERI 36,0
16.5,2.090185077064204,PERI 36,1
16.5,1.1690154831301227,TEa,0
16.5,1.2523312037340755,TEa,1
16.5,1.0958323949933564,VIS,0
16.5,0.3657747423994888,VIS,1
17.5,0.3175546898918782,PERI 35,0
17.5,1.072478795172167,PERI 35,1
17.5,5.706772982251271,PERI 36,0
17.5,2.4854421225682994,PERI 36,1
17.5,0.7286103582517087,TEa,0
17.5,1.8246805621238078,TEa,1
17.5,0.49983279689145554,VIS,0
17.5,0.20094663658033346,VIS,1
18.5,0.15538079398805493,PERI 35,0
18.5,1.7575423697491326,PERI 35,1
18.5,4.200521825880082,PERI 36,0
18.5,1.9139667896487533,PERI 36,1
18.5,0.4424949450899661,TEa,0
18.5,1.4667111665602024,TEa,1
18.5,0.2723718284717753,VIS,0
18.5,0.1689771684315543,VIS,1
19.5,1.0266852114843923,PERI 35,0
19.5,0.8218846910160826,PERI 35,1
19.5,1.1035974748128767,PERI 36,0
19.5,0.0021389328197471413,PERI 36,1
19.5,0.8595158190944129,TEa,0
19.5,1.1966126521372236,TEa,1
19.5,1.2890946560783454,VIS,0
19.5,0.09876563763620749,VIS,1
20.5,0.19955874330251233,PERI 35,0
20.5,0.9309251478284077,PERI 35,1
20.5,0.38027670637108557,PERI 36,0
20.5,0.15124709864136654,PERI 36,1
20.5,0.7709410574695864,TEa,0
20.5,0.9997787660483335,TEa,1
20.5,1.7922906372359773,VIS,0
20.5,0.14921891853745856,VIS,1
21.5,0.09671516769028443,PERI 35,0
21.5,1.10900401867282,PERI 35,1
21.5,1.4520235403905914,PERI 36,0
21.5,1.8435817207657983,PERI 36,1
21.5,0.10656070497178649,TEa,0
21.5,1.1963919116091013,TEa,1
21.5,1.2847358172933943,VIS,0
21.5,0.14542399508874626,VIS,1
22.5,0.6987192542476663,PERI 35,0
22.5,0.9135834191687765,PERI 35,1
22.5,0.7473532624729504,PERI 36,0
22.5,2.489362880119858,PERI 36,1
22.5,0.9286888577216711,TEa,0
22.5,0.3357282411543845,TEa,1
22.5,0.7214237819821467,VIS,0
22.5,0.24343876820490745,VIS,1
23.5,1.9844558079155188,PERI 35,0
23.5,0.7186882269474246,PERI 35,1
23.5,1.8536795830789043,PERI 36,0
23.5,1.8344818190541616,PERI 36,1
23.5,1.2615741809159984,TEa,0
23.5,0.06191829834934692,TEa,1
23.5,0.9363289985514038,VIS,0
23.5,0.22364697906161737,VIS,1
24.5,2.1105567527937925,PERI 35,0
24.5,1.1680599013848516,PERI 35,1
24.5,4.233637613268202,PERI 36,0
24.5,0.10622798857367877,PERI 36,1
24.5,1.8401672933564837,TEa,0
24.5,0.34968251147533835,TEa,1
24.5,1.2291041917761274,VIS,0
24.5,0.19900993186894914,VIS,1
25.5,1.6286786396646467,PERI 35,0
25.5,1.0250078905071658,PERI 35,1
25.5,2.811650516424364,PERI 36,0
25.5,0.9898959223931028,PERI 36,1
25.5,2.110384877412983,TEa,0
25.5,0.14656065234551652,TEa,1
25.5,0.8253904101885103,VIS,0
25.5,0.13205537708154635,VIS,1
26.5,1.5649813479399175,PERI 35,0
