time,accuracy,object,region,subject,date,probe
-1.2250000000000023,0.38666666666666655,2,Cortex,466394,20241105,probe01
-1.2250000000000023,0.34285714285714286,3,Cortex,466394,20241105,probe01
-1.2000000000000024,0.5095238095238095,1,Cortex,466394,20241105,probe01
-1.2000000000000024,0.3666666666666666,2,Cortex,466394,20241105,probe01
-1.2000000000000024,0.3695238095238094,3,Cortex,466394,20241105,probe01
-1.1750000000000025,0.4542857142857143,1,Cortex,466394,20241105,probe01
-1.1750000000000025,0.35428571428571415,2,Cortex,466394,20241105,probe01
-1.1750000000000025,0.3752380952380952,3,Cortex,466394,20241105,probe01
-1.1500000000000026,0.44666666666666666,1,Cortex,466394,20241105,probe01
-1.1500000000000026,0.3752380952380952,2,Cortex,466394,20241105,probe01
-1.1500000000000026,0.34666666666666673,3,Cortex,466394,20241105,probe01
-1.1250000000000027,0.4323809523809523,1,Cortex,466394,20241105,probe01
-1.1250000000000027,0.4009523809523809,2,Cortex,466394,20241105,probe01
-1.1250000000000027,0.3847619047619047,3,Cortex,466394,20241105,probe01
-1.1000000000000028,0.4438095238095238,1,Cortex,466394,20241105,probe01
-1.1000000000000028,0.3647619047619047,2,Cortex,466394,20241105,probe01
-1.1000000000000028,0.35047619047619044,3,Cortex,466394,20241105,probe01
-1.0750000000000028,0.37619047619047613,1,Cortex,466394,20241105,probe01
-1.0750000000000028,0.3504761904761905,2,Cortex,466394,20241105,probe01
-1.0750000000000028,0.39238095238095233,3,Cortex,466394,20241105,probe01
-1.050000000000003,0.40571428571428564,1,Cortex,466394,20241105,probe01
-1.050000000000003,0.3399999999999999,2,Cortex,466394,20241105,probe01
-1.050000000000003,0.358095238095238,3,Cortex,466394,20241105,probe01
-1.025000000000003,0.3704761904761905,1,Cortex,466394,20241105,probe01
-1.025000000000003,0.38285714285714284,2,Cortex,466394,20241105,probe01
-1.025000000000003,0.3476190476190476,3,Cortex,466394,20241105,probe01
-1.000000000000003,0.3476190476190475,1,Cortex,466394,20241105,probe01
-1.000000000000003,0.36190476190476184,2,Cortex,466394,20241105,probe01
-1.000000000000003,0.38761904761904764,3,Cortex,466394,20241105,probe01
-0.9750000000000032,0.3466666666666666,1,Cortex,466394,20241105,probe01
