time,accuracy,region,subject,date,probe
-1.2500000000000022,0.629,VIS,462910,20240815,probe00
-1.2250000000000023,0.8247142857142857,CA1,462910,20240815,probe00
-1.2250000000000023,0.6289999999999999,VIS,462910,20240815,probe00
-1.2000000000000024,0.8304285714285713,CA1,462910,20240815,probe00
-1.2000000000000024,0.6315714285714286,VIS,462910,20240815,probe00
-1.1750000000000025,0.8210000000000001,CA1,462910,20240815,probe00
-1.1750000000000025,0.6338571428571429,VIS,462910,20240815,probe00
-1.1500000000000026,0.8170000000000001,CA1,462910,20240815,probe00
-1.1500000000000026,0.6462857142857144,VIS,462910,20240815,probe00
-1.1250000000000027,0.8214285714285714,CA1,462910,20240815,probe00
-1.1250000000000027,0.6364285714285715,VIS,462910,20240815,probe00
-1.1000000000000028,0.8288571428571428,CA1,462910,20240815,probe00
-1.1000000000000028,0.6367142857142857,VIS,462910,20240815,probe00
-1.0750000000000028,0.8227142857142856,CA1,462910,20240815,probe00
-1.0750000000000028,0.6258571428571428,VIS,462910,20240815,probe00
-1.050000000000003,0.834857142857143,CA1,462910,20240815,probe00
-1.050000000000003,0.6594285714285714,VIS,462910,20240815,probe00
-1.025000000000003,0.8350000000000002,CA1,462910,20240815,probe00
-1.025000000000003,0.6355714285714285,VIS,462910,20240815,probe00
-1.000000000000003,0.8294285714285715,CA1,462910,20240815,probe00
-1.000000000000003,0.6322857142857142,VIS,462910,20240815,probe00
-0.9750000000000032,0.8442857142857143,CA1,462910,20240815,probe00
-0.9750000000000032,0.6365714285714286,VIS,462910,20240815,probe00
-0.9500000000000033,0.8328571428571427,CA1,462910,20240815,probe00
-0.9500000000000033,0.6392857142857143,VIS,462910,20240815,probe00
-0.9250000000000034,0.8345714285714287,CA1,462910,20240815,probe00
-0.9250000000000034,0.6182857142857143,VIS,462910,20240815,probe00
-0.9000000000000035,0.819,CA1,462910,20240815,probe00
-0.9000000000000035,0.6512857142857142,VIS,462910,20240815,probe00
-0.8750000000000036,0.8291428571428571,CA1,462910,20240815,probe00
-0.8750000000000036,0.670142857142857,VIS,462910,20240815,probe00
-0.8500000000000036,0.830142857142857,CA1,462910,20240815,probe00
-0.8500000000000036,0.6664285714285715,VIS,462910,20240815,probe00
-0.8250000000000037,0.8275714285714285,CA1,462910,20240815,probe00
-0.8250000000000037,0.6764285714285714,VIS,462910,20240815,probe00
-0.8000000000000038,0.8038571428571428,CA1,462910,20240815,probe00
-0.8000000000000038,0.6345714285714287,VIS,462910,20240815,probe00
-0.7750000000000039,0.8157142857142857,CA1,462910,20240815,probe00
-0.7750000000000039,0.6708571428571427,VIS,462910,20240815,probe00
-0.750000000000004,0.8218571428571428,CA1,462910,20240815,probe00
-0.750000000000004,0.6675714285714285,VIS,462910,20240815,probe00
-0.7250000000000041,0.8177142857142857,CA1,462910,20240815,probe00
-0.7250000000000041,0.6804285714285715,VIS,462910,20240815,probe00
-0.7000000000000042,0.8414285714285715,CA1,462910,20240815,probe00
-0.7000000000000042,0.6821428571428573,VIS,462910,20240815,probe00
-0.6750000000000043,0.8247142857142856,CA1,462910,20240815,probe00
-0.6750000000000043,0.6861428571428572,VIS,462910,20240815,probe00
-0.6500000000000044,0.8172857142857143,CA1,462910,20240815,probe00
-0.6500000000000044,0.6960000000000001,VIS,462910,20240815,probe00
-0.6250000000000044,0.8084285714285716,CA1,462910,20240815,probe00
-0.6250000000000044,0.6768571428571427,VIS,462910,20240815,probe00
-0.6000000000000045,0.8097142857142856,CA1,462910,20240815,probe00
-0.6000000000000045,0.6918571428571428,VIS,462910,20240815,probe00
-0.5750000000000046,0.8157142857142855,CA1,462910,20240815,probe00
-0.5750000000000046,0.7245714285714284,VIS,462910,20240815,probe00
-0.5500000000000047,0.8012857142857142,CA1,462910,20240815,probe00
-0.5500000000000047,0.7394285714285713,VIS,462910,20240815,probe00
-0.5250000000000048,0.7848571428571427,CA1,462910,20240815,probe00
-0.5250000000000048,0.7158571428571427,VIS,462910,20240815,probe00
-0.5000000000000049,0.7954285714285715,CA1,462910,20240815,probe00
-0.5000000000000049,0.7451428571428572,VIS,462910,20240815,probe00
-0.475000000000005,0.7999999999999998,CA1,462910,20240815,probe00
-0.475000000000005,0.7605714285714285,VIS,462910,20240815,probe00
-0.45000000000000506,0.7895714285714286,CA1,462910,20240815,probe00
-0.45000000000000506,0.7457142857142857,VIS,462910,20240815,probe00
-0.42500000000000515,0.807,CA1,462910,20240815,probe00
-0.42500000000000515,0.7691428571428572,VIS,462910,20240815,probe00
-0.40000000000000524,0.8039999999999999,CA1,462910,20240815,probe00
-0.40000000000000524,0.7811428571428571,VIS,462910,20240815,probe00
-0.37500000000000533,0.7872857142857143,CA1,462910,20240815,probe00
-0.37500000000000533,0.7888571428571428,VIS,462910,20240815,probe00
-0.3500000000000054,0.8042857142857145,CA1,462910,20240815,probe00
-0.3500000000000054,0.7889999999999999,VIS,462910,20240815,probe00
-0.3250000000000055,0.8067142857142856,CA1,462910,20240815,probe00
-0.3250000000000055,0.8124285714285713,VIS,462910,20240815,probe00
-0.3000000000000056,0.7721428571428571,CA1,462910,20240815,probe00
-0.3000000000000056,0.8089999999999999,VIS,462910,20240815,probe00
-0.2750000000000057,0.7934285714285713,CA1,462910,20240815,probe00
-0.2750000000000057,0.8255714285714285,VIS,462910,20240815,probe00
-0.2500000000000058,0.8031428571428572,CA1,462910,20240815,probe00
-0.2500000000000058,0.8407142857142857,VIS,462910,20240815,probe00
-0.22500000000000586,0.7914285714285713,CA1,462910,20240815,probe00
-0.22500000000000586,0.8301428571428571,VIS,462910,20240815,probe00
-0.20000000000000595,0.7885714285714286,CA1,462910,20240815,probe00
-0.20000000000000595,0.8441428571428571,VIS,462910,20240815,probe00
-0.17500000000000604,0.7727142857142857,CA1,462910,20240815,probe00
-0.17500000000000604,0.836,VIS,462910,20240815,probe00
-0.15000000000000613,0.7941428571428573,CA1,462910,20240815,probe00
-0.15000000000000613,0.8461428571428571,VIS,462910,20240815,probe00
-0.12500000000000622,0.7897142857142856,CA1,462910,20240815,probe00
-0.12500000000000622,0.8561428571428571,VIS,462910,20240815,probe00
-0.1000000000000063,0.803142857142857,CA1,462910,20240815,probe00
-0.1000000000000063,0.8569999999999999,VIS,462910,20240815,probe00
-0.0750000000000064,0.7741428571428571,CA1,462910,20240815,probe00
-0.0750000000000064,0.87,VIS,462910,20240815,probe00
-0.050000000000006484,0.7725714285714287,CA1,462910,20240815,probe00
-0.050000000000006484,0.861857142857143,VIS,462910,20240815,probe00
-0.025000000000006573,0.7767142857142857,CA1,462910,20240815,probe00
-0.025000000000006573,0.8521428571428571,VIS,462910,20240815,probe00
-6.661338147750939e-15,0.7557142857142857,CA1,462910,20240815,probe00
-6.661338147750939e-15,0.8778571428571429,VIS,462910,20240815,probe00
0.02499999999999325,0.7498571428571428,CA1,462910,20240815,probe00
0.02499999999999325,0.8734285714285714,VIS,462910,20240815,probe00
0.04999999999999316,0.7728571428571429,CA1,462910,20240815,probe00
0.04999999999999316,0.8688571428571429,VIS,462910,20240815,probe00
0.07499999999999307,0.7787142857142857,CA1,462910,20240815,probe00
0.07499999999999307,0.8847142857142858,VIS,462910,20240815,probe00
0.09999999999999298,0.7682857142857143,CA1,462910,20240815,probe00
0.09999999999999298,0.8904285714285713,VIS,462910,20240815,probe00
0.1249999999999929,0.8084285714285714,CA1,462910,20240815,probe00
