region_pair,region1,region2,object,p_value,f_stat,subject,date
dCA1 → PERI 35,dCA1,PERI 35,object2,5.350040062538822e-05,1.152428730064397,459601,20240411
PERI 36 → TEa,PERI 36,TEa,object2,5.422284499946158e-07,1.0743186385975836,459601,20240411
TEa → PERI 36,TEa,PERI 36,object2,5.350040062538822e-05,0.9830442406353153,459601,20240411
PERI 36 → VIS,PERI 36,VIS,object2,5.350040062538822e-05,1.0226114585393884,459601,20240411
VIS → PERI 36,VIS,PERI 36,object2,2.909063225531338e-09,1.05427820178737,459601,20240411
PERI 36 → dCA1,PERI 36,dCA1,object2,5.350040062538822e-05,0.9984430116177956,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,object2,1.1285112328121335e-12,1.3571504599059248,459601,20240411
TEa → VIS,TEa,VIS,object2,1.0151912272433631e-07,1.095304835326775,459601,20240411
VIS → TEa,VIS,TEa,object2,1.0151912272433631e-07,1.2905320128285378,459601,20240411
TEa → dCA1,TEa,dCA1,object2,5.350040062538822e-05,1.2074852460655419,459601,20240411
dCA1 → TEa,dCA1,TEa,object2,0.06748301608180704,1.0360990241625565,459601,20240411
VIS → dCA1,VIS,dCA1,object2,1.0151912272433631e-07,1.1610364159935083,459601,20240411
dCA1 → VIS,dCA1,VIS,object2,2.909063225531338e-09,1.4853691006122427,459601,20240411
ENT → PERI 35,ENT,PERI 35,object3,1.248513229775116e-05,1.2100180582364128,459601,20240411
PERI 35 → ENT,PERI 35,ENT,object3,0.00021161723214932238,1.3708199433152595,459601,20240411
ENT → PERI 36,ENT,PERI 36,object3,8.793497446663033e-12,1.4744121315231715,459601,20240411
PERI 36 → ENT,PERI 36,ENT,object3,4.4716997538161296e-10,1.515262220606794,459601,20240411
ENT → TEa,ENT,TEa,object3,0.0007695437662409166,1.1342784009377396,459601,20240411
TEa → ENT,TEa,ENT,object3,1.0151912272433631e-07,1.2863709362409286,459601,20240411
ENT → VIS,ENT,VIS,object3,2.6990331879991687e-06,1.3177495953102318,459601,20240411
VIS → ENT,VIS,ENT,object3,1.7758578067704248e-08,1.461239707581631,459601,20240411
ENT → dCA1,ENT,dCA1,object3,6.462014703754374e-11,1.494269730589822,459601,20240411
dCA1 → ENT,dCA1,ENT,object3,2.6990331879991687e-06,1.113483300080992,459601,20240411
PERI 35 → PERI 36,PERI 35,PERI 36,object3,1.0151912272433631e-07,1.040662426899919,459601,20240411
PERI 36 → PERI 35,PERI 36,PERI 35,object3,6.462014703754374e-11,1.1172766645640546,459601,20240411
PERI 35 → TEa,PERI 35,TEa,object3,5.350040062538822e-05,0.8901862466429782,459601,20240411
TEa → PERI 35,TEa,PERI 35,object3,5.350040062538822e-05,0.9533798123432379,459601,20240411
PERI 35 → VIS,PERI 35,VIS,object3,5.350040062538822e-05,1.1704023307355245,459601,20240411
VIS → PERI 35,VIS,PERI 35,object3,0.0007695437662409166,1.1468547486067804,459601,20240411
PERI 35 → dCA1,PERI 35,dCA1,object3,1.248513229775116e-05,1.307138948049234,459601,20240411
dCA1 → PERI 35,dCA1,PERI 35,object3,0.0025611951714927966,1.1630765392060187,459601,20240411
PERI 36 → TEa,PERI 36,TEa,object3,8.793497446663033e-12,1.4283751618647829,459601,20240411
TEa → PERI 36,TEa,PERI 36,object3,2.6990331879991687e-06,1.088946320489416,459601,20240411
PERI 36 → VIS,PERI 36,VIS,object3,0.00021161723214932238,1.1586600344717373,459601,20240411
VIS → PERI 36,VIS,PERI 36,object3,0.0007695437662409166,1.068187704851928,459601,20240411
