region_pair,region1,region2,object,p_value,f_stat,subject,date
PERI 35 → dCA1,PERI 35,dCA1,object2,0.7335995515315792,0.8590080348551816,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object2,0.17592550610362442,0.8997408938931498,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object3,0.518211954897537,1.1549984405064082,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object3,0.518211954897537,0.9193602977802138,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object1,0.3032221192914431,1.0152462268628573,459601,20240410
TEa → PERI 36,TEa,PERI 36,object1,0.518211954897537,1.2135317288819976,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object2,0.3032221192914431,1.1643824249156074,459601,20240410
TEa → PERI 36,TEa,PERI 36,object2,1.0,0.9328055469938423,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object3,1.0,0.9436570981266961,459601,20240410
TEa → PERI 36,TEa,PERI 36,object3,1.0,0.9687435724526515,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object1,1.0,1.032962580285142,459601,20240410
VIS → PERI 36,VIS,PERI 36,object1,0.03170948439811572,1.0199025703376268,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object2,1.0,0.8878460296614268,459601,20240410
VIS → PERI 36,VIS,PERI 36,object2,0.7335995515315792,1.0018958078378164,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object3,0.3032221192914431,1.0703660305252005,459601,20240410
VIS → PERI 36,VIS,PERI 36,object3,0.090667915769316,0.9835711643023638,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object1,0.7335995515315792,0.9749430338417673,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object1,0.03170948439811572,0.9294152323707643,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object2,1.0,1.067454875610206,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object2,1.0,1.0646573688162793,459601,20240410
