region_pair,region1,region2,object,p_value,f_stat,null_f_stat,subject,date
VIS → PERI 36,VIS,PERI 36,object1,0.2754491017964072,1.0980413500946162,1.0853360820020803,462911,20240809
PERI 36 → VIS,PERI 36,VIS,object2,0.1536926147704591,1.1419348800262858,1.0659316747551382,462911,20240809
VIS → PERI 36,VIS,PERI 36,object2,0.29740518962075846,1.1663814280389497,1.1148282517181372,462911,20240809
PERI 36 → VIS,PERI 36,VIS,object3,0.34331337325349304,1.0891923090038977,1.039496869346305,462911,20240809
VIS → PERI 36,VIS,PERI 36,object3,0.872255489021956,1.0090573383434183,1.072892983157509,462911,20240809
PERI 36 → dCA1,PERI 36,dCA1,object1,0.0658682634730539,1.1647265988132978,1.0692203986419968,462911,20240809
dCA1 → PERI 36,dCA1,PERI 36,object1,0.3393213572854291,1.1142819988150372,1.0127804433933856,462911,20240809
PERI 36 → dCA1,PERI 36,dCA1,object2,0.21956087824351297,1.1427832466019634,1.1028502749078342,462911,20240809
dCA1 → PERI 36,dCA1,PERI 36,object2,0.15568862275449102,1.2059093027627539,1.1811510208872842,462911,20240809
PERI 36 → dCA1,PERI 36,dCA1,object3,0.19560878243512975,1.1111909469803452,1.1101784078567358,462911,20240809
dCA1 → PERI 36,dCA1,PERI 36,object3,0.00998003992015968,1.1775377599076535,0.9915571609989039,462911,20240809
TEa → VIS,TEa,VIS,object1,0.37524950099800397,1.0851682786414099,1.073062194056645,462911,20240809
VIS → TEa,VIS,TEa,object1,0.3852295409181637,1.078262997953028,1.0738215284747268,462911,20240809
TEa → VIS,TEa,VIS,object2,0.564870259481038,1.10733180905729,1.1380084182545593,462911,20240809
VIS → TEa,VIS,TEa,object2,0.6007984031936128,1.0917665308719968,1.1187636288872655,462911,20240809
TEa → VIS,TEa,VIS,object3,0.25748502994011974,1.0876718713786429,1.0936116156679099,462911,20240809
VIS → TEa,VIS,TEa,object3,0.5688622754491018,1.045344990243247,1.0412989814617117,462911,20240809
TEa → dCA1,TEa,dCA1,object1,0.3812375249500998,1.0951094584127126,1.073487248168575,462911,20240809
dCA1 → TEa,dCA1,TEa,object1,0.19161676646706588,1.1273691902582168,1.1359249461055163,462911,20240809
