,mi_goal,mi_goal_baseline,mi_sem_goal,mi_sem_distractor,mi_distractor,mi_distractor_baseline,mi_sound,mi_sound_baseline,mi_sem_sound,time,region_1,region_2,region_pair,subject,date
41,0.10364630276222009,-0.0034575749863360317,0.0031015148674193808,0.002747380541701024,0.09589282908842725,-0.01583146446216703,0.0763034277596453,-0.007026074523667589,0.0019884171840379213,-0.075,PERI 35,TEa,PERI 35-TEa,459601,20240411
42,0.10045357132443043,-0.006650306424125688,0.0029833602663641365,0.0027695582981208575,0.0979740282931405,-0.013750265257453778,0.07307494302048134,-0.010254559262831545,0.0021088732933484023,0.075,PERI 35,TEa,PERI 35-TEa,459601,20240411
43,0.10480172544702272,-0.0023021523015333972,0.00311196562835125,0.0026241912645408342,0.10018729960730265,-0.011536993943291635,0.07646630079424824,-0.006863201489064649,0.0020481966837277636,0.22499999999999998,PERI 35,TEa,PERI 35-TEa,459601,20240411
44,0.09880995682250306,-0.008293920926053064,0.0030158397344966716,0.002733313090357391,0.09853190271674013,-0.01319239083385415,0.07530789439974976,-0.008021607883563125,0.002040237695998409,0.375,PERI 35,TEa,PERI 35-TEa,459601,20240411
45,0.10567432592406217,-0.0014295518244939465,0.003318170742723713,0.002870945065366005,0.10344985584184317,-0.008274437708751109,0.07704875120432285,-0.006280751078990038,0.0020917458898008934,0.5249999999999999,PERI 35,TEa,PERI 35-TEa,459601,20240411
46,0.12045689981477391,0.013353022066217787,0.0033519770017213213,0.0028705376212689567,0.10549422662379727,-0.006230066926797007,0.08082664208978459,-0.0025028601935283,0.002144733616734991,0.675,PERI 35,TEa,PERI 35-TEa,459601,20240411
47,0.12696830576070256,0.01986442801214644,0.003436916218151317,0.003003830900338998,0.11294512762982738,0.0012208340792330963,0.08010408096813443,-0.003225421315178459,0.0021077990196744717,0.825,PERI 35,TEa,PERI 35-TEa,459601,20240411
48,0.10648608868980583,-0.0006177890587502899,0.002807100605580548,0.0028348210326159962,0.10646531563314793,-0.005258977917446353,0.0861021276582122,0.002772625374899307,0.0022825119046010066,0.975,PERI 35,TEa,PERI 35-TEa,459601,20240411
49,0.11921546274270153,0.012111584994145413,0.0026078883328459535,0.002631195231942842,0.09930034774427818,-0.012423945806316103,0.077269017445144,-0.006060484838168886,0.0020792464224949586,1.125,PERI 35,TEa,PERI 35-TEa,459601,20240411
50,0.1101610775619334,0.0030571998133772788,0.0029082950213117444,0.0027549189238997777,0.09466972848147143,-0.017054565069122854,0.08369929718123358,0.00036979489792068887,0.0022108920727154672,1.275,PERI 35,TEa,PERI 35-TEa,459601,20240411
51,0.1092125555169961,0.0021086777684399816,0.0029485418429323297,0.002871314457933127,0.10260484938712636,-0.009119444163467924,0.07927049073016129,-0.004059011553151595,0.0021747330704918293,1.4249999999999998,PERI 35,TEa,PERI 35-TEa,459601,20240411
