region_1,region_2,region_pair,causality_score,object,subject,date
PERI,AUD,AUD <> PERI,0.04911419834170693,1,462910,20240814
AUD,PERI,AUD <> PERI,0.008732968481702085,2,462910,20240814
PERI,AUD,AUD <> PERI,0.046814319530040116,2,462910,20240814
AUD,CA1,AUD <> CA1,0.008001762717723123,1,462910,20240814
CA1,AUD,AUD <> CA1,0.085448902287802,1,462910,20240814
AUD,CA1,AUD <> CA1,0.007986681824546059,2,462910,20240814
CA1,AUD,AUD <> CA1,0.086734211119259,2,462910,20240814
LEC,PERI,LEC <> PERI,0.019838876358564517,1,462910,20240814
PERI,LEC,LEC <> PERI,0.043507652634522914,1,462910,20240814
LEC,PERI,LEC <> PERI,0.019544236422161066,2,462910,20240814
PERI,LEC,LEC <> PERI,0.04355000221605838,2,462910,20240814
LEC,CA1,LEC <> CA1,0.017407969994980867,1,462910,20240814
CA1,LEC,LEC <> CA1,0.08080286897950945,1,462910,20240814
LEC,CA1,LEC <> CA1,0.017719827745099385,2,462910,20240814
CA1,LEC,LEC <> CA1,0.07972866578626422,2,462910,20240814
PERI,CA1,PERI <> CA1,0.0407159134766938,1,462910,20240814
CA1,PERI,PERI <> CA1,0.07890867801696377,1,462910,20240814
PERI,CA1,PERI <> CA1,0.04151884912253616,2,462910,20240814
CA1,PERI,PERI <> CA1,0.0793856811338386,2,462910,20240814
VIS,CA1,VIS <> CA1,0.30075033158570963,1,462910,20240815
CA1,VIS,VIS <> CA1,0.070860376736373,1,462910,20240815
VIS,CA1,VIS <> CA1,0.30204399920840497,2,462910,20240815
CA1,VIS,VIS <> CA1,0.06979658779104427,2,462910,20240815
AUD,LEC,AUD <> LEC,0.10414058596403647,1,462911,20240809
LEC,AUD,AUD <> LEC,0.003081614316482388,1,462911,20240809
AUD,LEC,AUD <> LEC,0.10957910700511739,2,462911,20240809
LEC,AUD,AUD <> LEC,0.0030110404231233462,2,462911,20240809
AUD,PERI,AUD <> PERI,0.10643604300775,1,462911,20240809
PERI,AUD,AUD <> PERI,0.09241422413414574,1,462911,20240809
