time,accuracy,object,region,subject,date,probe
1.524999999999988,0.7426666666666667,3,TEa,459601,20240409,probe00
1.524999999999988,0.812,1,VIS,459601,20240409,probe00
1.524999999999988,0.6406666666666666,2,VIS,459601,20240409,probe00
1.524999999999988,0.5139999999999999,3,VIS,459601,20240409,probe00
1.5499999999999878,0.4053333333333333,1,PERI,459601,20240409,probe00
1.5499999999999878,0.47,2,PERI,459601,20240409,probe00
1.5499999999999878,0.4373333333333333,3,PERI,459601,20240409,probe00
1.5499999999999878,0.6426666666666666,1,TEa,459601,20240409,probe00
1.5499999999999878,0.5946666666666666,2,TEa,459601,20240409,probe00
1.5499999999999878,0.7533333333333334,3,TEa,459601,20240409,probe00
1.5499999999999878,0.8113333333333334,1,VIS,459601,20240409,probe00
1.5499999999999878,0.6353333333333333,2,VIS,459601,20240409,probe00
1.5499999999999878,0.45266666666666666,3,VIS,459601,20240409,probe00
1.5749999999999877,0.4060000000000001,1,PERI,459601,20240409,probe00
1.5749999999999877,0.502,2,PERI,459601,20240409,probe00
1.5749999999999877,0.42999999999999994,3,PERI,459601,20240409,probe00
1.5749999999999877,0.58,1,TEa,459601,20240409,probe00
1.5749999999999877,0.5566666666666668,2,TEa,459601,20240409,probe00
1.5749999999999877,0.752,3,TEa,459601,20240409,probe00
1.5749999999999877,0.7879999999999998,1,VIS,459601,20240409,probe00
1.5749999999999877,0.6466666666666667,2,VIS,459601,20240409,probe00
1.5749999999999877,0.4506666666666666,3,VIS,459601,20240409,probe00
1.5999999999999877,0.41400000000000003,1,PERI,459601,20240409,probe00
1.5999999999999877,0.48666666666666664,2,PERI,459601,20240409,probe00
1.5999999999999877,0.4233333333333333,3,PERI,459601,20240409,probe00
1.5999999999999877,0.606,1,TEa,459601,20240409,probe00
1.5999999999999877,0.5619999999999999,2,TEa,459601,20240409,probe00
1.5999999999999877,0.7053333333333334,3,TEa,459601,20240409,probe00
1.5999999999999877,0.7613333333333334,1,VIS,459601,20240409,probe00
1.5999999999999877,0.5846666666666667,2,VIS,459601,20240409,probe00
1.5999999999999877,0.4706666666666666,3,VIS,459601,20240409,probe00
1.6249999999999876,0.38733333333333336,1,PERI,459601,20240409,probe00
1.6249999999999876,0.46799999999999997,2,PERI,459601,20240409,probe00
1.6249999999999876,0.374,3,PERI,459601,20240409,probe00
1.6249999999999876,0.6613333333333334,1,TEa,459601,20240409,probe00
1.6249999999999876,0.5293333333333333,2,TEa,459601,20240409,probe00
1.6249999999999876,0.7473333333333332,3,TEa,459601,20240409,probe00
1.6249999999999876,0.7186666666666668,1,VIS,459601,20240409,probe00
1.6249999999999876,0.5406666666666666,2,VIS,459601,20240409,probe00
1.6249999999999876,0.426,3,VIS,459601,20240409,probe00
1.6499999999999875,0.4786666666666667,1,PERI,459601,20240409,probe00
1.6499999999999875,0.4126666666666667,2,PERI,459601,20240409,probe00
1.6499999999999875,0.4686666666666667,3,PERI,459601,20240409,probe00
1.6499999999999875,0.6560000000000001,1,TEa,459601,20240409,probe00
1.6499999999999875,0.4693333333333332,2,TEa,459601,20240409,probe00
1.6499999999999875,0.716,3,TEa,459601,20240409,probe00
1.6499999999999875,0.704,1,VIS,459601,20240409,probe00
1.6499999999999875,0.5913333333333334,2,VIS,459601,20240409,probe00
1.6499999999999875,0.4733333333333332,3,VIS,459601,20240409,probe00
1.6749999999999874,0.444,1,PERI,459601,20240409,probe00
1.6749999999999874,0.3926666666666667,2,PERI,459601,20240409,probe00
1.6749999999999874,0.4593333333333333,3,PERI,459601,20240409,probe00
1.6749999999999874,0.6926666666666667,1,TEa,459601,20240409,probe00
1.6749999999999874,0.46599999999999997,2,TEa,459601,20240409,probe00
1.6749999999999874,0.6639999999999999,3,TEa,459601,20240409,probe00
1.6749999999999874,0.6973333333333332,1,VIS,459601,20240409,probe00
1.6749999999999874,0.5773333333333333,2,VIS,459601,20240409,probe00
1.6749999999999874,0.4006666666666666,3,VIS,459601,20240409,probe00
1.6999999999999873,0.43199999999999994,1,PERI,459601,20240409,probe00
1.6999999999999873,0.45733333333333337,2,PERI,459601,20240409,probe00
1.6999999999999873,0.37866666666666665,3,PERI,459601,20240409,probe00
1.6999999999999873,0.7106666666666667,1,TEa,459601,20240409,probe00
1.6999999999999873,0.4746666666666666,2,TEa,459601,20240409,probe00
1.6999999999999873,0.706,3,TEa,459601,20240409,probe00
1.6999999999999873,0.7153333333333333,1,VIS,459601,20240409,probe00
1.6999999999999873,0.5906666666666667,2,VIS,459601,20240409,probe00
1.6999999999999873,0.44799999999999995,3,VIS,459601,20240409,probe00
1.7249999999999872,0.5646666666666665,1,PERI,459601,20240409,probe00
1.7249999999999872,0.38733333333333325,2,PERI,459601,20240409,probe00
1.7249999999999872,0.43066666666666664,3,PERI,459601,20240409,probe00
1.7249999999999872,0.638,1,TEa,459601,20240409,probe00
1.7249999999999872,0.436,2,TEa,459601,20240409,probe00
1.7249999999999872,0.6593333333333333,3,TEa,459601,20240409,probe00
1.7249999999999872,0.6780000000000002,1,VIS,459601,20240409,probe00
1.7249999999999872,0.622,2,VIS,459601,20240409,probe00
1.7249999999999872,0.434,3,VIS,459601,20240409,probe00
1.7499999999999871,0.54,1,PERI,459601,20240409,probe00
1.7499999999999871,0.39133333333333326,2,PERI,459601,20240409,probe00
1.7499999999999871,0.4006666666666666,3,PERI,459601,20240409,probe00
1.7499999999999871,0.614,1,TEa,459601,20240409,probe00
1.7499999999999871,0.44133333333333324,2,TEa,459601,20240409,probe00
1.7499999999999871,0.6526666666666666,3,TEa,459601,20240409,probe00
1.7499999999999871,0.6333333333333333,1,VIS,459601,20240409,probe00
1.7499999999999871,0.5406666666666666,2,VIS,459601,20240409,probe00
1.7499999999999871,0.4686666666666666,3,VIS,459601,20240409,probe00
1.774999999999987,0.5126666666666666,1,PERI,459601,20240409,probe00
1.774999999999987,0.4046666666666666,2,PERI,459601,20240409,probe00
1.774999999999987,0.364,3,PERI,459601,20240409,probe00
1.774999999999987,0.6493333333333333,1,TEa,459601,20240409,probe00
1.774999999999987,0.442,2,TEa,459601,20240409,probe00
1.774999999999987,0.68,3,TEa,459601,20240409,probe00
1.774999999999987,0.67,1,VIS,459601,20240409,probe00
1.774999999999987,0.5479999999999999,2,VIS,459601,20240409,probe00
1.774999999999987,0.44333333333333336,3,VIS,459601,20240409,probe00
1.799999999999987,0.5206666666666666,1,PERI,459601,20240409,probe00
1.799999999999987,0.4233333333333333,2,PERI,459601,20240409,probe00
1.799999999999987,0.37199999999999994,3,PERI,459601,20240409,probe00
1.799999999999987,0.6399999999999999,1,TEa,459601,20240409,probe00
1.799999999999987,0.4599999999999999,2,TEa,459601,20240409,probe00
1.799999999999987,0.69,3,TEa,459601,20240409,probe00
1.799999999999987,0.6719999999999999,1,VIS,459601,20240409,probe00
1.799999999999987,0.5726666666666665,2,VIS,459601,20240409,probe00
1.799999999999987,0.4593333333333333,3,VIS,459601,20240409,probe00
1.8249999999999869,0.4906666666666667,1,PERI,459601,20240409,probe00
1.8249999999999869,0.44133333333333336,2,PERI,459601,20240409,probe00
