p_expectation_obj1,p_expectation_obj2,p_reward_obj1,p_reward_obj2,diff_obj1,diff_obj2,dprime_obj1,dprime_obj2,p_sound_id,p_ripples,amp_ripples,assembly,region,subject,date,probe
0.1785893121614781,0.27674483935930394,0.742971721304194,0.03247469939394321,-0.014178538016387937,0.16876368777216005,-0.04137878846667692,0.5361685061425128,0.7983629955472548,,,11,TEa,459601,20240409,probe00
0.002615112565579225,0.07905220593439166,0.04395674592136878,0.051888606747116595,-0.24264974323111943,0.3595440057677264,-0.24736139002245547,0.6489768277769663,0.00014955134906935452,,,12,TEa,459601,20240409,probe00
0.24196961897411629,0.6778720168986505,0.8440731228636401,0.1396676568430193,-0.09546274927109943,-0.07739124138011366,-0.5824312701890876,-0.47165087561076435,0.7473951559028191,,,13,TEa,459601,20240409,probe00
0.7826176967767311,0.05970919779329509,0.10303183660929816,0.0010872746819445833,0.16505884443091456,-0.10668714327462192,0.7649868922221494,-0.4086291839469637,0.6654475586536732,,,1,VIS,459601,20240409,probe00
0.8389046180204878,0.8788386795829359,0.35369798256324014,0.017996254799287237,-0.21884924712464338,-0.11488107310758855,-0.4531747139876363,-0.21517866839526578,0.7111346201595249,,,2,VIS,459601,20240409,probe00
0.7791046263554449,0.30835314548453385,0.155594691753154,0.7424104541748334,-0.42153345023726335,-0.12666391305237046,-1.7232575356798747,-0.23161015149700698,0.4460285734838343,,,3,VIS,459601,20240409,probe00
0.9630348093169246,0.6443430441035607,0.03910257128243633,0.04745470844973099,-0.6289167952532345,-0.03890700745514264,-1.418554599480053,-0.10601610008639709,0.3464558762973805,,,4,VIS,459601,20240409,probe00
0.1049925945796687,0.46187918247894166,0.013603109953622572,0.0032870208625239705,0.3736494334132721,-0.5370834674569345,0.6586582945452886,-0.5478196095763588,0.4551496761642876,,,5,VIS,459601,20240409,probe00
0.5980830067432636,0.24641488718316729,0.00047196101815993874,0.01742981647227959,0.2294877748854251,0.10259400249375848,0.8786663098907311,0.2856233966441544,0.3260235055278249,,,6,VIS,459601,20240409,probe00
0.7215795271831789,0.6169639777924736,0.005538320288316911,0.005601152410346089,0.2870944373170299,0.042619764222830786,0.5418196115889229,0.1399043130480156,0.8148860316082258,,,7,VIS,459601,20240409,probe00
0.2116603156984901,0.6044254942250933,0.03984450574269183,0.0011431207757996997,0.47794986053940774,0.35551256658712155,1.323595573050948,1.00299811647995,0.9100780368424175,,,8,VIS,459601,20240409,probe00
0.8046197802377775,0.45114168592266757,0.3042131006029868,0.0032282231978701947,0.1702650091768403,0.25723877210954327,0.1788661988148643,0.4487148362278508,0.9297316044841749,,,9,VIS,459601,20240409,probe00
0.9242305431818338,0.8893584221307188,0.1582409878031561,0.39871280429395317,-0.43338494239059483,-0.09163762546327403,-1.1136597297265183,-0.17996335060555965,0.9735655546988321,,,10,VIS,459601,20240409,probe00
0.4204927582827188,0.4347805191894315,0.5533660528722224,0.05760688653356294,-0.14459940123865617,0.48637069337811684,-0.2203820166426217,0.7814316602572725,0.9602735245398342,,,1,CA1,459601,20240409,probe01
0.5679307069628863,0.12385167631798821,0.00031343371119130214,0.004368913413797193,1.1086793050674322,0.07577262975800633,2.5346074870114825,0.2023648257871178,0.8740538397269972,,,2,CA1,459601,20240409,probe01
0.107782032373683,0.9345532328711004,0.00478306292540398,0.04747697638725723,-1.3742168422404517,-0.2244382070823392,-1.4723064489671913,-0.34623163856035827,0.9186030312345426,,,3,CA1,459601,20240409,probe01
0.5951387523458983,0.0800940590028344,0.49064294429775224,0.7319239999584521,-0.17537670020998808,-0.09908696952750955,-0.7407772899837075,-0.4410956671369929,0.9250000143779095,,,4,CA1,459601,20240409,probe01
0.2763602511719174,0.38548415545437364,0.052496484012964806,0.03491868844233659,-0.1932298767457229,-0.0003992367996834556,-0.38114745549347556,-0.0009112308822315281,0.625864017212864,,,5,CA1,459601,20240409,probe01
0.8864847298242161,0.4002323190800682,0.8052784199353878,0.5333101519653485,0.28762432947895306,-0.2156405936290223,0.4117630949029255,-0.3298314350542728,0.7267679640687064,,,6,CA1,459601,20240409,probe01
0.5617023304433097,0.46780231707714726,0.010470045294106112,0.3564260238197019,-0.8383951591991738,-0.057825875258014525,-0.9610161704089494,-0.06368810975974273,0.9337770425489901,,,7,CA1,459601,20240409,probe01
0.1756479328969054,0.015611341051516181,0.0288160987121463,0.07079171687814201,0.8618664987642459,-0.6155141641439926,1.1437018690285028,-0.6859471335386694,0.5128375822115105,,,8,CA1,459601,20240409,probe01
0.48443610194772946,0.9216314398984686,0.003794868876037194,0.048321827182955635,0.3154937885117459,0.26926124451266237,0.7606666516566634,0.510558484661166,0.1985109763104247,,,9,CA1,459601,20240409,probe01
0.03306975668802015,0.5415372480531813,0.05539395573839467,0.04359178002282471,0.4431174730413936,-0.28734024344764664,0.2546348389293309,-0.21814202435898042,0.04928951929231784,,,10,CA1,459601,20240409,probe01
