switch,context,distance,position,subject,date,probe,lda_pos,region
0,2,-3.3834033566749353e+18,360,459601,20240409,probe00,600,Cortex
1,1,1.6738665391577121e+18,360,459601,20240409,probe00,600,Cortex
1,2,1.537676515082576e+18,360,459601,20240409,probe00,600,Cortex
0,1,1.1391316140178189e+18,370,459601,20240409,probe00,600,Cortex
0,2,-3.533766811009007e+18,370,459601,20240409,probe00,600,Cortex
1,1,1.3582901047868746e+18,370,459601,20240409,probe00,600,Cortex
1,2,1.2591790039294438e+18,370,459601,20240409,probe00,600,Cortex
0,1,7.910100247955156e+17,380,459601,20240409,probe00,600,Cortex
0,2,-3.6825136998615096e+18,380,459601,20240409,probe00,600,Cortex
1,1,9.970764873590797e+17,380,459601,20240409,probe00,600,Cortex
1,2,9.192813213796443e+17,380,459601,20240409,probe00,600,Cortex
0,1,4.891933422212524e+17,390,459601,20240409,probe00,600,Cortex
0,2,-3.855740339554548e+18,390,459601,20240409,probe00,600,Cortex
1,1,6.572515751121582e+17,390,459601,20240409,probe00,600,Cortex
1,2,5.891215015687521e+17,390,459601,20240409,probe00,600,Cortex
0,1,2.7087089566989792e+17,400,459601,20240409,probe00,600,Cortex
0,2,3.851878581985307e+17,400,459601,20240409,probe00,600,Cortex
1,1,3.838303169261435e+17,400,459601,20240409,probe00,600,Cortex
1,2,3.184615110106437e+17,400,459601,20240409,probe00,600,Cortex
0,1,1.3559042653701765e+17,410,459601,20240409,probe00,600,Cortex
0,2,2.043475287642475e+17,410,459601,20240409,probe00,600,Cortex
1,1,1.953234171058071e+17,410,459601,20240409,probe00,600,Cortex
1,2,1.3486460379415714e+17,410,459601,20240409,probe00,600,Cortex
0,1,5.977882791293233e+16,420,459601,20240409,probe00,600,Cortex
0,2,1.0071808105302211e+17,420,459601,20240409,probe00,600,Cortex
1,1,8.565439726900218e+16,420,459601,20240409,probe00,600,Cortex
1,2,8.00171117212315e+16,420,459601,20240409,probe00,600,Cortex
0,1,2.1761763679543136e+16,430,459601,20240409,probe00,600,Cortex
0,2,4.904482889623091e+16,430,459601,20240409,probe00,600,Cortex
1,1,3.1585822729911976e+16,430,459601,20240409,probe00,600,Cortex
1,2,2.8018818159134084e+16,430,459601,20240409,probe00,600,Cortex
0,1,5132831257667721.0,440,459601,20240409,probe00,600,Cortex
0,2,2.882165416807823e+16,440,459601,20240409,probe00,600,Cortex
1,1,8890768878549310.0,440,459601,20240409,probe00,600,Cortex
1,2,7737142692027559.0,440,459601,20240409,probe00,600,Cortex
0,1,-619736174363730.6,450,459601,20240409,probe00,600,Cortex
0,2,1.8087527748069404e+16,450,459601,20240409,probe00,600,Cortex
1,1,1134053933690096.0,450,459601,20240409,probe00,600,Cortex
1,2,844369620513708.0,450,459601,20240409,probe00,600,Cortex
0,1,-1687524907967692.8,460,459601,20240409,probe00,600,Cortex
